Hour;Load
1;1,02
2;1,008
3;1,086
4;1,128
5;1,032
6;1,014
7;1,008
8;1,044
9;1,104
10;1,056
11;1,05
12;1,05
13;1,098
14;1,11
15;1,098
16;1,128
17;1,194
18;1,158
19;1,368
20;1,446
21;1,446
22;1,464
23;1,524
24;1,488
25;1,536
26;1,548
27;1,518
28;1,584
29;1,578
30;1,572
31;1,692
32;1,806
33;1,77
34;1,77
35;1,746
36;1,722
37;1,734
38;1,686
39;1,746
40;1,722
41;1,788
42;1,788
43;1,704
44;1,656
45;1,71
46;1,674
47;1,626
48;1,62
49;1,59
50;1,578
51;1,578
52;1,596
53;1,578
54;1,602
55;1,542
56;1,644
57;1,842
58;1,794
59;1,794
60;1,86
61;1,83
62;1,83
63;1,89
64;1,83
65;1,878
66;1,878
67;1,944
68;1,878
69;1,992
70;2,034
71;2,016
72;2,058
73;2,04
74;2,016
75;2,064
76;2,046
77;2,112
78;1,986
79;2,166
80;2,16
81;2,136
82;2,298
83;2,172
84;2,058
85;2,16
86;2,22
87;2,268
88;2,352
89;2,322
90;2,286
91;2,22
92;2,394
93;2,358
94;2,274
95;2,322
96;2,436
97;2,508
98;2,4
99;2,406
100;2,364
101;2,412
102;2,268
103;2,442
104;2,586
105;2,526
106;2,544
107;2,706
108;2,682
109;2,682
110;2,616
111;2,652
112;2,766
113;2,502
114;2,568
115;2,562
116;2,532
117;2,598
118;2,532
119;2,442
120;2,418
121;2,388
122;2,238
123;2,346
124;2,316
125;2,262
126;2,088
127;2,094
128;1,992
129;2,076
130;1,962
131;1,98
132;2,046
133;2,004
134;2,016
135;2,028
136;1,944
137;1,89
138;1,884
139;1,938
140;1,92
141;1,836
142;1,98
143;2,01
144;2,31
145;2,31
146;2,238
147;2,352
148;2,382
149;2,358
150;2,364
151;2,424
152;2,622
153;2,676
154;2,694
155;2,802
156;2,676
157;2,526
158;2,52
159;2,61
160;2,676
161;2,574
162;2,676
163;2,532
164;2,598
165;2,544
166;2,562
167;2,502
168;2,526
169;2,52
170;2,436
171;2,55
172;2,454
173;2,466
174;2,328
175;2,478
176;2,55
177;2,58
178;2,526
179;2,526
180;2,538
181;2,616
182;2,658
183;2,562
184;2,586
185;2,616
186;2,46
187;2,346
188;2,328
189;2,316
190;2,346
191;2,316
192;2,124
193;2,238
194;2,232
195;2,286
196;2,196
197;2,064
198;1,944
199;2,196
200;2,274
201;2,328
202;2,328
203;2,328
204;2,346
205;2,358
206;2,382
207;2,454
208;2,496
209;2,454
210;2,364
211;2,25
212;2,304
213;2,274
214;2,274
215;2,22
216;2,178
217;2,268
218;2,208
219;2,136
220;2,166
221;2,118
222;2,052
223;2,022
224;2,052
225;2,244
226;2,28
227;2,292
228;2,358
229;2,424
230;2,436
231;2,472
232;2,412
233;2,478
234;2,448
235;2,514
236;2,448
237;2,466
238;2,472
239;2,394
240;2,454
241;2,472
242;2,496
243;2,496
244;2,442
245;2,508
246;2,442
247;2,568
248;2,664
249;2,67
250;2,652
251;2,652
252;2,472
253;2,43
254;2,43
255;2,46
256;2,61
257;2,46
258;2,502
259;2,55
260;2,574
261;2,508
262;2,55
263;2,418
264;2,478
265;2,604
266;2,448
267;2,538
268;2,532
269;2,526
270;2,412
271;2,244
272;2,274
273;2,244
274;2,244
275;2,262
276;2,274
277;2,304
278;2,262
279;2,406
280;2,616
281;2,496
282;2,508
283;2,562
284;2,496
285;2,556
286;2,544
287;2,46
288;2,496
289;2,442
290;2,4
291;2,508
292;2,466
293;2,508
294;2,472
295;2,568
296;2,562
297;2,676
298;2,688
299;2,634
300;2,628
301;2,652
302;2,508
303;2,424
304;2,574
305;2,496
306;2,49
307;2,472
