Hour,Load
1,0.030140332
2,0.030633359
3,0.031553674
4,0.034413226
5,0.039047672
6,0.043452039
7,0.044635301
8,0.044766775
9,0.042104434
10,0.031718016
11,0.031915227
12,0.031783753
13,0.031816621
14,0.03040328
15,0.029943122
16,0.03349291
17,0.03556362
18,0.034216015
19,0.033985936
20,0.033591516
21,0.032638332
22,0.032079569
23,0.030797701
24,0.031816621
25,0.029285754
26,0.031520806
27,0.031520806
28,0.031980963
29,0.033624384
30,0.036582541
31,0.036023778
32,0.03618812
33,0.032736937
34,0.029187149
35,0.02997599
36,0.030764832
37,0.031619411
38,0.029318622
39,0.026853491
40,0.031783753
41,0.034314621
42,0.035202068
43,0.034511831
44,0.033985936
45,0.03349291
46,0.032605463
47,0.031652279
48,0.031487937
49,0.029844517
50,0.031619411
51,0.030863437
52,0.032638332
53,0.034051673
54,0.036746883
55,0.03743712
56,0.037930146
57,0.032638332
58,0.029581569
59,0.030304674
60,0.028726991
61,0.02895707
62,0.029187149
63,0.028201096
64,0.032967016
65,0.036483936
66,0.036451067
67,0.035070594
68,0.035070594
69,0.034216015
70,0.033229963
71,0.033361437
72,0.032539726
73,0.032145305
74,0.034577568
75,0.034807647
76,0.038521777
77,0.043123355
78,0.046278722
79,0.055711956
80,0.068957925
81,0.066558531
82,0.066755742
83,0.066821479
84,0.060576481
85,0.064783637
86,0.068990794
87,0.068366294
88,0.07671487
89,0.08457042
90,0.077865265
91,0.073986792
92,0.068464899
93,0.066624268
94,0.061891217
95,0.049565563
96,0.051340457
97,0.04466817
98,0.042696065
99,0.040625355
100,0.042203039
101,0.046804617
102,0.04982851
103,0.057223903
104,0.097586311
105,0.089500682
106,0.088974787
107,0.105967756
108,0.094726759
109,0.079640159
110,0.083913052
111,0.087922998
112,0.08726563
113,0.107183887
114,0.083781578
115,0.079245738
116,0.072935003
117,0.075630213
118,0.068070478
119,0.058144218
120,0.055087456
121,0.047297643
122,0.04279467
123,0.03825883
124,0.038521777
125,0.043583512
126,0.047396248
127,0.046377327
128,0.046048643
129,0.042465986
130,0.031882358
131,0.031652279
132,0.031783753
133,0.031060648
134,0.033591516
135,0.032769805
136,0.037700067
137,0.04052675
138,0.039409224
139,0.035958041
140,0.036944093
141,0.033328568
142,0.032934147
143,0.032342516
144,0.031126385
145,0.02997599
146,0.031783753
147,0.0320467
148,0.035432147
149,0.040789697
150,0.045259801
151,0.053838456
152,0.072737792
153,0.081940947
154,0.078358291
155,0.080691948
156,0.086542525
157,0.080198922
158,0.083222815
159,0.07796387
160,0.06968103
161,0.073329424
162,0.067314505
163,0.07155453
164,0.072343372
165,0.074611292
166,0.070568477
167,0.054988851
168,0.057421113
169,0.052688062
170,0.050617352
171,0.047955011
172,0.047034695
173,0.051011773
174,0.054035667
175,0.063830453
176,0.081842342
177,0.080396132
178,0.080264658
179,0.080396132
180,0.076419054
181,0.079508685
182,0.062877269
183,0.062680059
184,0.063764716
185,0.054758772
186,0.055186061
187,0.05521893
188,0.056073508
189,0.056500798
190,0.060740823
191,0.05686235
192,0.054430088
193,0.048152221
194,0.04322196
195,0.037732935
196,0.036483936
197,0.036681146
198,0.036878357
199,0.038127356
200,0.03681262
201,0.033788726
202,0.030436148
203,0.030469017
204,0.031718016
205,0.032079569
206,0.031718016
207,0.029384359
208,0.032309648
209,0.035958041
210,0.034971989
211,0.036023778
212,0.034577568
213,0.033098489
214,0.032835542
215,0.032572595
216,0.031948095
217,0.031389332
218,0.031948095
219,0.033262831
220,0.033131358
221,0.034478963
222,0.037897277
223,0.038390303
224,0.038521777
225,0.032967016
226,0.030797701
227,0.030764832
228,0.029680175
229,0.030206069
230,0.030962043
231,0.029121412
232,0.033427173
233,0.035925173
234,0.036878357
235,0.035662225
236,0.034577568
237,0.033722989
238,0.033427173
239,0.033032753
240,0.032572595
241,0.031882358
242,0.033722989
243,0.034018805
244,0.039244882
245,0.043583512
246,0.046640275
247,0.061431059
248,0.074677029
249,0.076649133
250,0.077175028
251,0.078325422
252,0.072803529
253,0.070765688
254,0.05748685
255,0.06037927
256,0.07507145
257,0.068563504
258,0.056796613
259,0.063534638
260,0.066196979
261,0.065901163
262,0.062745796
263,0.050551615
264,0.051504799
265,0.049795642
266,0.045161196
267,0.040921171
268,0.039507829
269,0.042991881
270,0.044832512
271,0.055679087
272,0.062778664
273,0.063501769
274,0.060806559
275,0.061266717
276,0.056369324
277,0.05686235
278,0.06037927
279,0.061759743
280,0.07589316
281,0.0653424
282,0.057716929
283,0.063436032
284,0.054002798
285,0.05232651
286,0.059294613
287,0.050190063
288,0.044503828
289,0.041578539
290,0.037535725
291,0.036023778
292,0.036319594
293,0.042104434
294,0.047724932
295,0.058505771
296,0.079541553
297,0.081316448
298,0.069845372
299,0.068530636
300,0.066032637
301,0.0672159
302,0.061726875
303,0.073493766
304,0.071258714
305,0.073559503
306,0.067018689
307,0.066427058
308,0.055909166
309,0.059656165
310,0.06389619
311,0.052030694
312,0.051570536
313,0.047889274
314,0.044766775
315,0.043714986
316,0.045424143
317,0.045588485
318,0.049861379
319,0.06327169
320,0.080560474
321,0.085589341
322,0.077898133
323,0.076912081
324,0.06678861
325,0.06327169
326,0.069418083
327,0.067051557
328,0.078424027
329,0.076682002
330,0.070338399
331,0.069089399
332,0.059951981
333,0.057092429
334,0.064422085
335,0.061661138
336,0.062712927
337,0.056500798
338,0.051570536
339,0.046903222
340,0.050321537
341,0.051504799
342,0.054430088
343,0.062811532
344,0.091571392
345,0.091078366
346,0.081020632
347,0.088678972
348,0.080593343
349,0.075761686
350,0.07960729
351,0.085983762
352,0.085359262
353,0.09637018
354,0.080593343
355,0.070535609
356,0.059886244
357,0.065276663
358,0.060905165
359,0.060675086
360,0.056007772
361,0.048973932
362,0.045095459
363,0.045457012
364,0.039836514
365,0.038521777
366,0.041315592
367,0.041578539
368,0.041381329
369,0.035399278
370,0.033427173
371,0.033953068
372,0.033821594
373,0.032605463
374,0.031685148
375,0.031487937
376,0.032704068
377,0.038094488
378,0.038718988
379,0.038850461
380,0.037831541
381,0.036286725
382,0.035300673
383,0.035169199
384,0.03474191
385,0.033755858
386,0.034873384
387,0.035234936
388,0.035267804
389,0.035958041
390,0.039442093
391,0.039935119
392,0.036878357
393,0.032375384
394,0.030370411
395,0.031520806
396,0.03060049
397,0.029285754
398,0.030699095
399,0.030501885
400,0.031553674
401,0.03743712
402,0.038094488
403,0.03845604
404,0.037174172
405,0.036352462
406,0.036023778
407,0.03556362
408,0.035432147
409,0.034216015
410,0.03638533
411,0.036615409
412,0.04052675
413,0.045851433
414,0.049039668
415,0.056500798
416,0.069253741
417,0.069089399
418,0.061694007
419,0.067150163
420,0.068530636
421,0.070831425
422,0.068267689
423,0.071521661
424,0.070798556
425,0.065441005
426,0.058374297
427,0.065835426
428,0.062548585
429,0.062712927
430,0.062614322
431,0.056172114
432,0.060280665
433,0.052162167
434,0.046607406
435,0.042203039
436,0.042663197
437,0.043945065
438,0.048579511
439,0.061266717
440,0.085392131
441,0.091571392
442,0.089829366
443,0.088678972
444,0.064323479
445,0.061759743
446,0.057947008
447,0.060247796
448,0.073986792
449,0.079640159
450,0.062384243
451,0.064290611
452,0.065046584
453,0.05955756
454,0.060543612
455,0.056336456
456,0.061792612
457,0.05459443
458,0.04548988
459,0.039639303
460,0.037798672
461,0.039442093
462,0.04529267
463,0.054923114
464,0.065178058
465,0.059491823
466,0.057322508
467,0.057125297
468,0.055744824
469,0.059426086
470,0.056993824
471,0.053082483
472,0.070831425
473,0.069089399
474,0.062482848
475,0.063600374
476,0.056993824
477,0.054824509
478,0.05623785
479,0.052852404
480,0.056139245
481,0.051964957
482,0.044109407
483,0.042531723
484,0.037502856
485,0.039672171
486,0.044306617
487,0.053575509
488,0.069023662
489,0.066920084
490,0.056796613
491,0.057453982
492,0.055909166
493,0.059984849
494,0.061069507
495,0.061529664
496,0.071028635
497,0.071455924
498,0.068399162
499,0.065210926
500,0.056928087
501,0.053509772
502,0.055744824
503,0.06037927
504,0.059097402
505,0.051570536
506,0.045555617
507,0.039047672
508,0.038390303
509,0.039540698
510,0.044503828
511,0.054890246
512,0.069089399
513,0.066394189
514,0.062088427
515,0.052819536
516,0.051241852
517,0.053444036
518,0.050946036
519,0.054627298
520,0.064060532
521,0.072343372
522,0.077733791
523,0.068760715
524,0.062745796
525,0.059623297
526,0.05314822
527,0.055153193
528,0.054068535
529,0.045982906
530,0.043550644
531,0.037404251
532,0.035793699
533,0.035070594
534,0.036516804
535,0.036845488
536,0.037141304
537,0.031159253
538,0.029088543
539,0.027806675
540,0.029943122
541,0.02997599
542,0.029515833
543,0.029713043
544,0.028858464
545,0.034511831
546,0.035497883
547,0.035859436
548,0.034971989
549,0.032375384
550,0.032178174
551,0.032835542
552,0.031718016
553,0.031192122
554,0.032835542
555,0.03411741
556,0.033887331
557,0.034446094
558,0.038193093
559,0.037897277
560,0.038751856
561,0.031586543
562,0.030041727
563,0.030074596
564,0.030501885
565,0.033722989
566,0.033164226
567,0.03349291
568,0.035103462
569,0.040362408
570,0.041874355
571,0.044142275
572,0.038160225
573,0.040230934
574,0.036582541
575,0.042531723
576,0.043517776
577,0.043386302
578,0.044240881
579,0.040658224
580,0.041414197
581,0.045457012
582,0.046640275
583,0.062384243
584,0.071192977
585,0.067873268
586,0.0672159
587,0.066920084
588,0.053805588
589,0.055974903
590,0.068399162
591,0.064685032
592,0.074972844
593,0.067445978
594,0.059031665
595,0.068004741
596,0.062515717
597,0.064849374
598,0.062811532
599,0.054298614
600,0.05666514
601,0.044569565
602,0.043024749
603,0.039212014
604,0.037798672
605,0.041841487
606,0.046377327
607,0.054660167
608,0.065539611
609,0.056960955
610,0.05479164
611,0.049269747
612,0.051241852
613,0.055087456
614,0.061726875
615,0.064454953
616,0.068990794
617,0.064422085
618,0.058275692
619,0.065671084
620,0.067511715
621,0.068530636
622,0.067084426
623,0.060872296
624,0.049762774
625,0.043123355
626,0.041841487
627,0.036746883
628,0.039113409
629,0.044142275
630,0.049565563
631,0.056139245
632,0.067708926
633,0.059327481
634,0.055317535
635,0.055843429
636,0.057158166
637,0.055876298
638,0.063107348
639,0.065868295
640,0.077240765
641,0.069615293
642,0.063436032
643,0.064849374
644,0.056796613
645,0.065079453
646,0.064685032
647,0.05830856
648,0.064389216
649,0.056007772
650,0.048448037
651,0.04341917
652,0.043550644
653,0.042104434
654,0.048217958
655,0.057388245
656,0.060247796
657,0.060642217
658,0.05893306
659,0.059261744
660,0.059984849
661,0.069450951
662,0.070272662
663,0.0647179
664,0.063238822
665,0.062877269
666,0.053838456
667,0.06244998
668,0.073066477
669,0.079705896
670,0.079147133
671,0.061365322
672,0.066295584
673,0.051800615
674,0.050814563
675,0.045325538
676,0.041414197
677,0.045522749
678,0.049697037
679,0.061759743
680,0.067906136
681,0.067445978
682,0.073132213
683,0.075630213
684,0.069812504
685,0.077372238
686,0.074381213
687,0.070272662
688,0.07319795
689,0.066690005
690,0.066361321
691,0.072014687
692,0.066755742
693,0.06761032
694,0.064290611
