Hour;Grid_Price
1.0;24.95
2.0;24.35
3.0;23.98
4.0;23.72
5.0;23.73
6.0;24.06
7.0;24.44
8.0;24.93
9.0;24.9
10.0;25.07
11.0;25.63
12.0;25.92
13.0;26.13
14.0;26.57
15.0;27.3
16.0;28.61
17.0;30.25
18.0;30.19
19.0;28.82
20.0;28.25
21.0;27.32
22.0;26.98
23.0;26.44
24.0;25.64
25.0;25.59
26.0;24.91
27.0;24.74
28.0;24.66
29.0;24.72
30.0;24.92
31.0;25.62
32.0;26.19
33.0;28.02
34.0;27.65
35.0;28.83
36.0;29.76
37.0;28.62
38.0;28.72
39.0;28.89
40.0;39.74
41.0;58.88
42.0;60.51
43.0;59.84
44.0;29.94
45.0;27.38
46.0;26.96
47.0;26.85
48.0;25.94
49.0;25.27
50.0;24.59
51.0;23.86
52.0;23.57
53.0;23.49
54.0;23.85
55.0;24.05
56.0;24.8
57.0;24.97
58.0;25.65
59.0;26.0
60.0;26.07
61.0;25.87
62.0;25.83
63.0;26.02
64.0;26.5
65.0;28.05
66.0;28.53
67.0;28.17
68.0;27.92
69.0;27.56
70.0;27.04
71.0;26.18
72.0;24.92
73.0;24.66
74.0;24.05
75.0;23.88
76.0;24.03
77.0;24.58
78.0;25.84
79.0;28.21
80.0;30.85
81.0;49.2
82.0;50.02
83.0;55.4
84.0;56.53
85.0;52.07
86.0;56.53
87.0;57.99
88.0;58.03
89.0;60.5
90.0;65.22
91.0;60.05
92.0;53.73
93.0;37.68
94.0;34.82
95.0;30.95
96.0;27.35
97.0;27.81
98.0;27.45
99.0;27.08
100.0;27.14
101.0;27.79
102.0;29.81
103.0;35.78
104.0;53.64
105.0;60.0
106.0;60.12
107.0;61.18
108.0;62.46
109.0;61.48
110.0;62.29
111.0;62.04
112.0;62.51
113.0;64.26
114.0;65.6
115.0;60.13
116.0;54.66
117.0;40.78
118.0;39.6
119.0;32.06
120.0;29.21
121.0;29.83
122.0;28.72
123.0;28.11
124.0;27.98
125.0;28.16
126.0;29.0
127.0;30.72
128.0;35.54
129.0;39.18
130.0;41.88
131.0;46.07
132.0;45.27
133.0;46.21
134.0;47.35
135.0;51.31
136.0;54.9
137.0;58.4
138.0;59.93
139.0;55.67
140.0;50.25
141.0;39.84
142.0;39.93
143.0;38.7
144.0;32.5
145.0;43.08
146.0;40.9
147.0;39.19
148.0;39.78
149.0;41.28
150.0;45.54
151.0;55.97
152.0;67.8
153.0;84.43
154.0;83.86
155.0;82.44
156.0;85.99
157.0;84.71
158.0;82.29
159.0;78.62
160.0;81.57
161.0;89.68
162.0;99.91
163.0;84.62
164.0;77.79
165.0;65.2
166.0;59.33
167.0;58.26
168.0;50.99
169.0;49.31
170.0;47.38
171.0;45.78
172.0;44.51
173.0;45.69
174.0;50.33
175.0;59.71
176.0;79.56
177.0;103.54
178.0;107.8
179.0;107.32
180.0;104.26
181.0;99.91
182.0;95.27
183.0;92.72
184.0;95.42
185.0;95.0
186.0;110.0
187.0;99.95
188.0;80.12
189.0;61.48
190.0;59.43
191.0;56.22
192.0;50.48
193.0;47.58
194.0;47.04
195.0;46.48
196.0;47.67
197.0;48.04
198.0;47.77
199.0;48.26
200.0;52.16
201.0;58.11
202.0;64.68
203.0;65.61
204.0;65.89
205.0;64.97
206.0;60.55
207.0;58.14
208.0;60.0
209.0;62.78
210.0;69.92
211.0;69.69
212.0;65.77
213.0;49.93
214.0;47.95
215.0;43.47
216.0;36.64
217.0;38.84
218.0;35.97
219.0;34.35
220.0;33.87
221.0;33.84
222.0;34.21
223.0;34.03
224.0;37.61
225.0;39.09
226.0;40.76
227.0;44.16
228.0;45.34
229.0;44.76
230.0;44.34
231.0;45.45
232.0;46.67
233.0;50.72
234.0;54.95
235.0;53.34
236.0;49.39
237.0;46.43
238.0;44.49
239.0;40.07
240.0;35.88
241.0;40.6
242.0;39.59
243.0;37.78
244.0;35.43
245.0;37.29
246.0;41.41
247.0;42.78
248.0;50.34
249.0;57.25
250.0;49.62
251.0;47.57
252.0;44.64
253.0;43.33
254.0;42.61
255.0;42.05
256.0;42.31
257.0;43.28
258.0;44.98
259.0;42.93
260.0;39.71
261.0;37.11
262.0;34.24
263.0;33.21
264.0;27.39
265.0;19.43
266.0;15.82
267.0;19.0
268.0;24.14
269.0;27.0
270.0;35.03
271.0;40.14
272.0;54.51
273.0;60.64
274.0;54.96
275.0;56.5
276.0;55.34
277.0;50.1
278.0;48.05
279.0;48.04
280.0;52.01
281.0;61.06
282.0;64.12
283.0;60.4
284.0;50.45
285.0;41.79
286.0;40.71
287.0;37.75
288.0;34.62
289.0;33.03
290.0;32.43
291.0;31.58
292.0;30.84
293.0;31.68
294.0;36.81
295.0;41.87
296.0;46.21
297.0;56.14
298.0;47.71
299.0;46.23
300.0;43.82
301.0;41.22
302.0;40.04
303.0;39.47
304.0;41.17
305.0;45.91
306.0;55.49
307.0;54.51
308.0;48.1
309.0;47.14
310.0;40.88
311.0;40.02
312.0;38.03
313.0;37.3
314.0;36.91
315.0;36.98
316.0;39.44
317.0;42.16
318.0;45.34
319.0;54.98
320.0;81.34
321.0;91.0
322.0;89.27
323.0;89.63
324.0;91.05
325.0;88.91
326.0;89.24
327.0;86.04
328.0;91.21
329.0;99.94
330.0;103.14
331.0;92.38
332.0;87.7
333.0;74.58
334.0;62.74
335.0;59.82
336.0;55.6
337.0;48.98
338.0;47.49
339.0;46.22
340.0;45.3
341.0;46.46
342.0;49.87
343.0;62.97
344.0;79.86
345.0;96.64
346.0;100.16
347.0;99.94
348.0;89.11
349.0;81.2
350.0;78.52
351.0;79.04
352.0;78.87
353.0;84.02
354.0;99.5
355.0;98.02
356.0;95.01
357.0;77.2
358.0;67.18
359.0;62.62
360.0;53.7
361.0;53.09
362.0;51.65
363.0;49.88
364.0;48.45
365.0;48.09
366.0;47.35
367.0;48.0
368.0;51.43
369.0;58.97
370.0;63.96
371.0;61.79
372.0;62.13
373.0;54.24
374.0;49.09
375.0;49.48
376.0;50.65
377.0;59.12
378.0;65.01
379.0;66.4
380.0;63.76
381.0;57.47
382.0;52.98
383.0;51.92
384.0;48.17
385.0;46.49
386.0;44.82
387.0;44.99
388.0;44.98
389.0;44.38
390.0;44.33
391.0;45.34
392.0;46.5
393.0;47.4
394.0;51.13
395.0;54.75
396.0;58.08
397.0;54.58
398.0;52.82
399.0;49.95
400.0;53.48
401.0;60.6
402.0;67.05
403.0;72.0
404.0;67.78
405.0;62.45
406.0;55.56
407.0;52.13
408.0;46.9
409.0;43.85
410.0;44.37
411.0;44.13
412.0;44.47
413.0;44.83
414.0;46.42
415.0;53.72
416.0;74.53
417.0;78.92
418.0;75.65
419.0;72.03
420.0;66.39
421.0;60.06
422.0;57.7
423.0;59.41
424.0;57.39
425.0;54.54
426.0;59.94
427.0;55.08
428.0;51.42
429.0;46.97
430.0;45.63
431.0;42.95
432.0;37.83
433.0;36.75
434.0;35.94
435.0;34.74
436.0;35.96
437.0;36.7
438.0;38.14
439.0;41.59
440.0;46.68
441.0;56.5
442.0;54.5
443.0;52.73
444.0;54.5
445.0;52.21
446.0;52.11
447.0;52.37
448.0;51.34
449.0;51.89
450.0;56.04
451.0;52.75
452.0;45.39
453.0;41.41
454.0;39.75
455.0;36.66
456.0;31.23
457.0;30.33
458.0;28.4
459.0;27.27
460.0;26.77
461.0;28.85
462.0;31.91
463.0;35.7
464.0;39.02
465.0;41.25
466.0;38.9
467.0;38.01
468.0;37.95
469.0;37.92
470.0;36.84
471.0;36.8
472.0;37.99
473.0;39.33
474.0;45.51
475.0;40.41
476.0;39.13
477.0;35.69
478.0;32.19
479.0;29.49
480.0;25.3
481.0;24.85
482.0;21.49
483.0;20.85
484.0;19.97
485.0;21.51
486.0;24.58
487.0;27.47
488.0;35.32
489.0;37.23
490.0;35.29
491.0;33.01
492.0;33.38
493.0;33.69
494.0;35.34
495.0;36.22
496.0;36.61
497.0;37.93
498.0;39.52
499.0;37.22
500.0;35.71
501.0;32.01
502.0;30.08
503.0;27.43
504.0;24.09
505.0;12.45
506.0;13.92
507.0;11.08
508.0;11.8
509.0;19.48
510.0;26.93
511.0;31.45
512.0;36.76
513.0;41.51
514.0;39.62
515.0;38.62
516.0;37.46
517.0;36.39
518.0;35.83
519.0;35.27
520.0;35.18
521.0;35.71
522.0;36.22
523.0;35.47
524.0;33.35
525.0;29.33
526.0;27.83
527.0;26.77
528.0;25.4
529.0;25.85
530.0;24.97
531.0;24.94
532.0;26.01
533.0;27.2
534.0;30.37
535.0;30.87
536.0;33.83
537.0;35.5
538.0;36.2
539.0;37.33
540.0;37.75
541.0;37.89
542.0;37.98
543.0;38.21
544.0;39.67
545.0;56.49
546.0;61.58
547.0;63.03
548.0;57.66
549.0;41.01
550.0;39.04
551.0;37.38
552.0;36.48
553.0;37.87
554.0;37.91
555.0;37.82
556.0;37.88
557.0;38.12
558.0;38.74
559.0;39.35
560.0;40.66
561.0;44.55
562.0;48.99
563.0;51.44
564.0;54.34
565.0;51.86
566.0;45.99
567.0;44.34
568.0;45.93
569.0;52.0
570.0;61.98
571.0;65.0
572.0;62.91
573.0;59.3
574.0;54.9
575.0;51.9
576.0;44.06
577.0;45.5
578.0;41.76
579.0;41.22
580.0;40.56
581.0;41.36
582.0;45.66
583.0;61.95
584.0;70.0
585.0;75.62
586.0;79.67
587.0;74.95
588.0;72.2
589.0;69.02
590.0;67.0
591.0;65.91
592.0;66.01
593.0;67.35
594.0;73.46
595.0;71.5
596.0;65.07
597.0;62.52
598.0;55.26
599.0;50.12
600.0;40.54
601.0;42.58
602.0;42.32
603.0;42.2
604.0;41.78
605.0;44.07
606.0;49.8
607.0;58.56
608.0;70.75
609.0;73.95
610.0;71.73
611.0;73.91
612.0;72.0
613.0;70.0
614.0;65.91
615.0;66.33
616.0;68.15
617.0;68.75
618.0;73.73
619.0;70.36
620.0;63.15
621.0;60.49
622.0;54.93
623.0;51.05
624.0;45.03
625.0;45.7
626.0;44.04
627.0;42.61
628.0;41.58
629.0;42.2
630.0;45.0
631.0;51.25
632.0;62.04
633.0;66.79
634.0;66.12
635.0;65.47
636.0;65.94
637.0;65.78
638.0;65.54
639.0;65.84
640.0;66.16
641.0;66.13
642.0;69.85
643.0;70.48
644.0;63.99
645.0;59.64
646.0;55.75
647.0;53.1
648.0;48.39
649.0;46.87
650.0;44.93
651.0;43.83
652.0;42.4
653.0;43.64
654.0;44.41
655.0;53.52
656.0;68.23
657.0;72.52
658.0;68.83
659.0;67.69
660.0;67.44
661.0;62.81
662.0;61.56
663.0;61.06
664.0;59.52
665.0;68.2
666.0;80.07
667.0;69.77
668.0;61.17
669.0;55.67
670.0;53.3
671.0;51.02
672.0;45.51
673.0;42.71
674.0;40.84
675.0;39.37
676.0;38.78
677.0;39.38
678.0;42.96
679.0;47.17
680.0;65.09
681.0;73.39
682.0;73.28
683.0;68.76
684.0;63.54
685.0;62.69
686.0;62.5
687.0;54.99
688.0;51.94
689.0;63.86
690.0;66.45
691.0;63.64
692.0;59.38
693.0;54.34
694.0;50.03
695.0;45.9
696.0;42.79
697.0;42.33
698.0;40.39
699.0;39.05
700.0;37.96
701.0;38.08
702.0;39.41
703.0;41.56
704.0;43.35
705.0;48.26
706.0;57.73
707.0;57.81
708.0;57.78
709.0;55.13
710.0;50.6
711.0;47.99
712.0;48.05
713.0;56.58
714.0;60.58
715.0;61.65
716.0;59.62
717.0;52.78
718.0;46.96
719.0;46.98
720.0;42.3
721.0;42.08
722.0;40.98
723.0;40.51
724.0;39.5
725.0;39.55
726.0;40.62
727.0;40.82
728.0;41.29
729.0;44.85
730.0;49.15
731.0;50.73
732.0;51.14
733.0;50.37
734.0;46.43
735.0;45.95
736.0;47.92
737.0;52.92
738.0;64.46
739.0;63.88
740.0;62.35
741.0;57.99
742.0;51.34
743.0;49.28
744.0;45.36
745.0;42.55
746.0;40.98
747.0;40.94
748.0;40.02
749.0;40.76
750.0;48.31
751.0;59.42
752.0;149.95
753.0;199.94
754.0;165.79
755.0;125.54
756.0;67.18
757.0;66.04
758.0;66.35
759.0;78.45
760.0;86.08
761.0;140.02
762.0;199.94
763.0;119.03
764.0;70.47
765.0;62.29
766.0;56.36
767.0;55.25
768.0;49.4
769.0;46.13
770.0;45.05
771.0;43.59
772.0;42.44
773.0;43.98
774.0;47.72
775.0;62.46
776.0;116.5
777.0;152.25
778.0;119.43
779.0;100.08
780.0;66.77
781.0;63.99
782.0;62.58
783.0;64.43
784.0;64.75
785.0;78.94
786.0;89.28
787.0;66.01
788.0;60.11
789.0;51.19
790.0;48.64
791.0;46.54
792.0;41.98
793.0;38.69
794.0;37.53
795.0;36.73
796.0;36.91
797.0;38.69
798.0;41.23
799.0;45.04
800.0;68.71
801.0;84.84
802.0;73.97
803.0;84.88
804.0;61.56
805.0;59.89
806.0;58.92
807.0;50.07
808.0;49.01
809.0;55.05
810.0;68.88
811.0;54.56
812.0;50.86
813.0;43.71
814.0;41.79
815.0;40.15
816.0;36.93
817.0;34.95
818.0;34.46
819.0;33.94
820.0;34.56
821.0;36.97
822.0;39.53
823.0;48.32
824.0;62.71
825.0;84.86
826.0;80.09
827.0;84.85
828.0;60.03
829.0;58.99
830.0;60.06
831.0;63.3
832.0;63.37
833.0;66.56
834.0;100.94
835.0;89.3
836.0;67.51
837.0;60.2
838.0;54.22
839.0;52.26
840.0;46.22
841.0;45.57
842.0;44.01
843.0;42.24
844.0;41.2
