Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Sweden,Sweden,SE,4.82,30.46,99.39,68.35,entsoe.eu,false,
2022-01-01 01:00:00,Sweden,Sweden,SE,2.33,27.1,99.71,68.28,entsoe.eu,false,
2022-01-01 02:00:00,Sweden,Sweden,SE,2.51,27.2,99.68,68.07,entsoe.eu,false,
2022-01-01 03:00:00,Sweden,Sweden,SE,5.17,31.4,99.34,66.92,entsoe.eu,false,
2022-01-01 04:00:00,Sweden,Sweden,SE,2.54,27.78,99.69,67.17,entsoe.eu,false,
2022-01-01 05:00:00,Sweden,Sweden,SE,4.36,30.75,99.45,67.44,entsoe.eu,false,
2022-01-01 06:00:00,Sweden,Sweden,SE,6.47,34.13,99.18,67.82,entsoe.eu,false,
2022-01-01 07:00:00,Sweden,Sweden,SE,4.23,31.72,99.47,68.86,entsoe.eu,false,
2022-01-01 08:00:00,Sweden,Sweden,SE,1.56,28.0,99.82,68.67,entsoe.eu,false,
2022-01-01 09:00:00,Sweden,Sweden,SE,6.7,34.21,99.11,68.08,entsoe.eu,false,
2022-01-01 10:00:00,Sweden,Sweden,SE,18.89,47.84,98.0,66.85,entsoe.eu,false,
2022-01-01 11:00:00,Sweden,Sweden,SE,25.21,55.12,96.93,65.49,entsoe.eu,false,
2022-01-01 12:00:00,Sweden,Sweden,SE,28.36,58.82,96.41,64.62,entsoe.eu,false,
2022-01-01 13:00:00,Sweden,Sweden,SE,19.75,48.67,97.87,65.28,entsoe.eu,false,
2022-01-01 14:00:00,Sweden,Sweden,SE,20.04,49.37,97.88,66.12,entsoe.eu,false,
2022-01-01 15:00:00,Sweden,Sweden,SE,22.99,52.79,97.57,66.87,entsoe.eu,false,
2022-01-01 16:00:00,Sweden,Sweden,SE,12.65,41.96,98.47,68.56,entsoe.eu,false,
2022-01-01 17:00:00,Sweden,Sweden,SE,11.92,40.18,98.39,69.62,entsoe.eu,false,
2022-01-01 18:00:00,Sweden,Sweden,SE,10.49,38.64,98.63,70.21,entsoe.eu,false,
2022-01-01 19:00:00,Sweden,Sweden,SE,5.44,32.4,99.29,70.99,entsoe.eu,false,
2022-01-01 20:00:00,Sweden,Sweden,SE,2.32,27.99,99.71,71.2,entsoe.eu,false,
2022-01-01 21:00:00,Sweden,Sweden,SE,1.52,26.66,99.82,71.13,entsoe.eu,false,
2022-01-01 22:00:00,Sweden,Sweden,SE,1.23,25.24,99.86,71.18,entsoe.eu,false,
