Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Sweden,South Sweden,SE-SE4,1.81,34.7,99.28,65.0,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 01:00:00,Sweden,South Sweden,SE-SE4,1.87,35.26,99.26,65.3,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 02:00:00,Sweden,South Sweden,SE-SE4,2.27,35.92,99.18,65.26,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 03:00:00,Sweden,South Sweden,SE-SE4,1.87,35.73,99.25,65.24,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 04:00:00,Sweden,South Sweden,SE-SE4,1.92,36.38,99.23,65.69,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 05:00:00,Sweden,South Sweden,SE-SE4,1.98,37.25,99.21,66.05,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 06:00:00,Sweden,South Sweden,SE-SE4,2.0,37.47,99.2,66.15,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 07:00:00,Sweden,South Sweden,SE-SE4,2.27,38.19,99.13,66.49,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 08:00:00,Sweden,South Sweden,SE-SE4,2.33,38.17,99.13,66.69,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 09:00:00,Sweden,South Sweden,SE-SE4,2.28,38.06,99.14,67.79,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 10:00:00,Sweden,South Sweden,SE-SE4,2.27,37.83,99.15,68.73,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 11:00:00,Sweden,South Sweden,SE-SE4,2.27,37.71,99.15,68.99,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 12:00:00,Sweden,South Sweden,SE-SE4,2.32,37.86,99.14,69.15,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 13:00:00,Sweden,South Sweden,SE-SE4,2.31,37.91,99.15,69.77,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 14:00:00,Sweden,South Sweden,SE-SE4,2.32,38.02,99.15,70.44,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 15:00:00,Sweden,South Sweden,SE-SE4,3.8,40.07,98.81,70.22,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 16:00:00,Sweden,South Sweden,SE-SE4,3.8,40.18,98.81,70.39,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 17:00:00,Sweden,South Sweden,SE-SE4,2.23,38.49,99.16,70.77,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 18:00:00,Sweden,South Sweden,SE-SE4,2.2,38.37,99.16,70.22,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 19:00:00,Sweden,South Sweden,SE-SE4,2.16,37.91,99.17,69.56,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 20:00:00,Sweden,South Sweden,SE-SE4,2.12,37.12,99.2,69.39,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 21:00:00,Sweden,South Sweden,SE-SE4,2.08,36.64,99.21,68.78,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 22:00:00,Sweden,South Sweden,SE-SE4,2.08,36.14,99.21,67.44,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 23:00:00,Sweden,South Sweden,SE-SE4,1.86,34.92,99.27,65.93,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 00:00:00,Sweden,South Sweden,SE-SE4,1.82,34.78,99.28,65.89,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 01:00:00,Sweden,South Sweden,SE-SE4,1.81,34.5,99.28,66.03,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 02:00:00,Sweden,South Sweden,SE-SE4,1.81,34.54,99.28,66.14,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 03:00:00,Sweden,South Sweden,SE-SE4,1.84,34.92,99.27,65.62,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 04:00:00,Sweden,South Sweden,SE-SE4,1.88,35.56,99.25,65.38,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 05:00:00,Sweden,South Sweden,SE-SE4,1.98,36.92,99.21,66.38,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 06:00:00,Sweden,South Sweden,SE-SE4,2.05,37.53,99.19,67.48,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 07:00:00,Sweden,South Sweden,SE-SE4,2.32,38.24,99.13,68.45,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 08:00:00,Sweden,South Sweden,SE-SE4,2.34,37.99,99.14,69.19,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 09:00:00,Sweden,South Sweden,SE-SE4,2.26,37.57,99.16,69.63,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 10:00:00,Sweden,South Sweden,SE-SE4,2.28,37.62,99.16,69.81,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 11:00:00,Sweden,South Sweden,SE-SE4,2.29,37.82,99.15,69.54,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 12:00:00,Sweden,South Sweden,SE-SE4,2.31,37.79,99.15,69.36,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
