,P_PV,P_BESS,E_BESS,pv2load,pv2bess,pv_curtailed,bess2load,lcoe,lcos,lco2,savings_EUR,co2avoided_kgCO2
0,2.0,1.0,0.0,2381.83381557304,36.7499494736842,40.9757802963158,34.912452,18.48148878625129,0.0,27.30944530071787,146962.11289357,61228.278238178595
1,2.0,1.0,1.0,0.0,0.0,0.0,0.0,inf,inf,inf,0.0,0.0
2,2.0,1.0,2.0,2313.561632579158,145.9979127638821,0.0,138.596012775688,29.189698218371454,24.027237162068722,108.47589693260025,148893.87074303286,62491.494219509295
3,2.0,1.0,3.0,2273.3831019772633,186.17644336577683,0.0,176.670616847488,34.7070259327934,36.07180498800439,149.38447969033263,148763.26486833103,62584.517477682195
4,2.0,1.0,4.0,2237.9727443962106,221.5868009468295,0.0,211.165456549488,40.21431466062804,48.11371876113023,190.27101035787243,148678.04002502337,62684.96315042402
5,2.0,1.0,5.0,2211.1559249562106,248.4036203868295,0.0,236.546435017488,45.73544250927836,60.1774282968314,231.2372653046271,148552.12577185122,62751.39672141634
6,2.0,1.0,6.0,2188.015877800421,271.54366754261895,0.0,259.3844798154881,51.239302339061695,72.22182482777198,272.125481197842,148480.52647645233,62831.58936557729
7,2.0,1.0,7.0,2167.930776653053,291.6287686899874,0.0,278.370325905488,56.76301377111184,84.29665765483516,313.12580417793004,148412.72538469773,62872.806020487435
8,2.0,1.0,8.0,2150.0057964581056,309.55374888493475,0.0,296.25405709068804,62.264750515387405,96.34066179559397,354.00981573715165,148491.03290685776,62934.64386014573
9,2.0,1.0,9.0,2135.5666193296847,323.99292601335577,0.0,309.87627536268803,67.78816881842768,108.41945254260244,395.0204693377308,148591.8084256857,62965.10752626098
10,2.0,1.0,10.0,2125.7387508770526,333.8207944659874,0.0,320.0677503926881,73.27989029074534,120.44814925696966,435.8480523486163,148682.8071099023,63013.20428902657
11,2.0,1.0,11.0,2117.3176982454734,342.2418470975663,0.0,327.97275039268806,78.79831555263961,132.52092541846596,476.83497093335984,148700.6238704863,63030.048875272885
12,2.0,1.0,12.0,2110.4703220560004,349.08922328704,0.0,335.332757772688,84.2836066378212,144.5379813026838,517.6213941511082,148719.7590230477,63070.21353575944
13,2.0,1.0,13.0,2104.7689767760003,354.79056856704,0.0,340.654035788688,89.7993679906335,156.607149154345,558.5945633869615,148688.10316550898,63079.066338681754
14,2.0,1.0,14.0,2101.805286798105,357.7542585449347,0.0,344.32454126768806,95.27449223189754,168.60511997115194,599.3140605947303,148755.78755059908,63112.383365292444
15,2.0,1.0,15.0,2100.3015647981056,359.25798054493475,0.0,345.6580771676881,100.78257603970799,180.66091205935217,640.2395089157812,148808.12783438907,63116.09603714445
16,2.0,1.0,16.0,2099.5015647981054,360.0579805449347,0.0,347.2730771676881,106.2486284808882,192.64078446189683,680.8963814752872,148830.64748438905,63142.401487144445
17,2.0,2.0,0.0,2381.83381557304,36.7499494736842,40.9757802963158,34.912452,18.48148878625129,0.0,27.30944530071787,146962.11289357,61228.278238178595
18,2.0,2.0,2.0,2312.4405064212633,147.11903892177685,0.0,139.66108262568798,29.190365509938005,24.027786437111093,108.47837674759029,148898.90715039297,62489.55579322814
19,2.0,2.0,4.0,2234.131276901474,225.42826844156633,0.0,214.81485066948798,40.21746871087138,48.11749236979787,190.28593350977948,148703.54461954284,62696.05286403885
20,2.0,2.0,6.0,2173.1204082941053,286.43913704893475,0.0,273.535175846488,51.25489982385816,72.24380949117099,272.2083174751127,148572.18587685484,62856.36906040479
21,2.0,2.0,8.0,2128.1540865949473,331.40545874809266,0.0,317.01318146068803,62.292572564225125,96.38371014277836,354.16799959400396,148528.94918656137,62977.3738706117
22,2.0,2.0,10.0,2097.130668870737,362.42887647230316,0.0,347.245428298688,73.32277233973281,120.51863330677368,436.1031026421927,148577.56029355264,63074.65690149116
23,2.0,2.0,12.0,2077.218465814947,382.3410795280926,0.0,366.92202120168804,84.34093939725723,144.6363012683564,517.9734989559884,148736.13439591794,63143.13363187963
24,2.0,2.0,14.0,2064.4866145349474,395.0729308080926,0.0,379.777279917688,95.34722409932623,168.7338319164614,599.7715726714908,148783.45116590723,63202.06714654183
25,2.0,2.0,16.0,2058.3076157149476,401.2519296280926,0.0,386.4073287966881,106.33814404182552,192.80308630171416,681.4700436712084,148813.93741315958,63241.78271421688
26,2.0,2.0,18.0,2056.7076157149477,402.85192962809265,0.0,388.68732879668806,117.31402453536528,216.84315694019173,763.0669247059617,148834.99687087958,63268.15273661688
27,2.0,2.0,20.0,2055.1076157149473,404.4519296280926,0.0,390.96732879668804,128.28380251863462,240.86986147304708,844.6184384642728,148866.25806823958,63294.138796456886
28,2.0,2.0,22.0,2053.5076157149474,406.05192962809264,0.0,393.247328796688,139.24748307964646,264.8832110443694,926.1246227714424,148922.1264470796,63320.56559629689
29,2.0,2.0,24.0,2051.9076157149475,407.6519296280926,0.0,395.52732879668804,150.20507130075913,288.88321678586277,1007.5855154107351,148963.15221373958,63345.64346955688
30,2.0,2.0,26.0,2051.4881097149473,408.0714356280926,0.0,396.685859496688,161.1526868247036,312.86234662278565,1088.974898650078,148984.4065782966,63367.54636806388
31,2.0,2.0,28.0,2051.4881097149473,408.0714356280926,0.0,397.445859496688,172.09222088451824,336.8241188298077,1170.3051352269115,149006.3041782966,63388.46476806388
32,2.0,2.0,30.0,2051.4881097149473,408.0714356280926,0.0,398.20585949668805,183.02496712022918,360.7710231005845,1251.5849075575368,149028.21497829657,63409.37236806388
33,2.0,2.0,32.0,2051.4881097149473,408.0714356280926,0.0,398.96585949668804,193.95093184749837,384.70307326883625,1332.8142625958992,149050.27457829658,63430.26556806388
34,2.0,3.0,0.0,2381.83381557304,36.7499494736842,40.9757802963158,34.912452,18.48148878625129,0.0,27.30944530071787,146962.11289357,61228.278238178595
35,2.0,3.0,3.0,2270.2362350825265,189.3233102605137,0.0,179.660140397488,34.70925497382583,36.0741216812753,149.39407383232228,148760.79548708623,62584.334482018334
36,2.0,3.0,6.0,2169.8814545256846,289.67809081735584,0.0,276.61218192648806,51.25829268473588,72.24859173044416,272.22633653190775,148550.58397353734,62858.614002249255
37,2.0,3.0,9.0,2103.924126788632,355.6354185544084,0.0,339.936643276688,67.83205402360146,108.48964192819281,395.27620060539726,148561.9825818653,63024.15368580254
38,2.0,3.0,12.0,2070.0203417517896,389.53920359125055,0.0,373.7602390616881,84.35336065451229,144.65760248600128,518.049783167758,148832.7772922513,63152.248467674886
39,2.0,3.0,15.0,2053.3847684717894,406.1747768712505,0.0,390.229033677688,100.8793260987627,180.8343443588375,640.8541311325458,148934.7684448712,63221.477110779146
40,2.0,3.0,18.0,2047.4068764717897,412.1526688712505,0.0,397.523031077688,117.33633820473469,216.88440151029445,763.2120635598376,148889.96495983703,63278.1276523177
41,2.0,3.0,21.0,2043.4591836517898,416.10036169125055,0.0,401.93833925668804,133.8220589356366,252.98341635403017,885.7455606742534,148884.1488684878,63305.35069726206
42,2.0,3.0,24.0,2041.0591836517897,418.50036169125053,0.0,405.833339256688,150.23836842141918,288.9472557643252,1007.8088746900949,148977.2329138478,63356.34856289206
43,2.0,3.0,27.0,2040.6396776517897,418.91986769125054,0.0,406.896869956688,166.69256671799673,324.98012762155867,1130.1159129585615,148994.0764284048,63375.65606139906
44,2.0,3.0,30.0,2040.6396776517897,418.91986769125054,0.0,408.511869956688,183.06550225827732,360.8509242389662,1251.8621001603008,149036.37327840476,63420.29466139906
45,2.0,3.0,33.0,2040.6396776517897,418.91986769125054,0.0,409.176869956688,199.49418970138794,396.82826881891157,1373.9804326515407,149054.28454447477,63438.66743663906
46,2.0,3.0,36.0,2040.6396776517897,418.91986769125054,0.0,410.791869956688,215.83028761744936,432.6183696630619,1495.452729886098,149100.66734447476,63483.24143663905
47,2.0,3.0,39.0,2040.6396776517897,418.91986769125054,0.0,411.45686995668797,232.2348136996658,468.5427988319172,1617.3914538022689,149119.7661444748,63501.59543663904
48,2.0,3.0,42.0,2040.6396776517897,418.91986769125054,0.0,413.071869956688,248.53418259959906,504.2524418096618,1738.5906685559182,149166.2753690808,63546.06599832504
49,2.0,3.0,45.0,2040.6396776517897,418.91986769125054,0.0,413.736869956688,264.9146087083667,540.1240900160325,1860.3502402469862,149185.4473190808,63564.36014832504
50,2.0,3.0,48.0,2040.6396776517897,418.91986769125054,0.0,415.35186995668795,281.17735678600184,575.7535121267942,1981.2771769260644,149232.5144844168,63608.73976135704
51,2.0,4.0,0.0,2381.83381557304,36.7499494736842,40.9757802963158,34.912452,18.48148878625129,0.0,27.30944530071787,146962.11289357,61228.278238178595
52,2.0,4.0,4.0,2232.0932101856843,227.4663351573558,0.0,216.751014049488,40.219142273517015,48.119494674776604,190.29385184577922,148677.42758426562,62695.6292608305
53,2.0,4.0,8.0,2122.7712256686314,336.78831967440846,0.0,322.126899340688,62.29942995127586,96.39432040301689,354.20698766199064,148507.05698139523,62982.989900838074
54,2.0,4.0,12.0,2070.0203417517896,389.53920359125055,0.0,373.7602390616881,84.35336065451229,144.65760248600128,518.049783167758,148832.7772922513,63152.248467674886
55,2.0,4.0,16.0,2050.8588073717897,408.70073797125053,0.0,393.483696722688,106.35434660863454,192.8324633885059,681.5738781325903,148929.39562205382,63251.525387264446
56,2.0,4.0,20.0,2044.2591836517897,415.30036169125054,0.0,401.27333925668796,128.31225599662744,240.92328665352974,844.8057756937541,148879.7450396478,63305.091047422065
57,2.0,4.0,24.0,2041.0591836517897,418.50036169125053,0.0,405.833339256688,150.23836842141918,288.9472557643252,1007.8088746900949,148977.2329138478,63356.34856289206
58,2.0,4.0,28.0,2040.6396776517897,418.91986769125054,0.0,407.751869956688,172.13034654233402,336.8987395246457,1170.564406987694,149016.4688784048,63399.28826139906
59,2.0,4.0,32.0,2040.6396776517897,418.91986769125054,0.0,409.271869956688,193.99387346940685,384.7882482858469,1333.1093537593881,149057.01294447476,63441.289436639054
60,2.0,4.0,36.0,2040.6396776517897,418.91986769125054,0.0,410.791869956688,215.83028761744936,432.6183696630619,1495.452729886098,149100.66734447476,63483.24143663905
61,2.0,4.0,40.0,2040.6396776517897,418.91986769125054,0.0,412.311869956688,237.6396393887096,480.38921405654327,1657.5949100846185,149144.3645690808,63525.15839832504
62,2.0,4.0,44.0,2040.6396776517897,418.91986769125054,0.0,413.83186995668797,259.4219790605836,528.1008915930702,1819.5362681435283,149188.18616908081,63566.97359832504
63,2.0,4.0,48.0,2040.6396776517897,418.91986769125054,0.0,415.35186995668795,281.17735678600184,575.7535121267942,1981.2771769260644,149232.5144844168,63608.73976135704
64,2.0,4.0,52.0,2040.6396776517897,418.9198676912506,0.0,416.871869956688,302.905822593814,623.3471852400825,2142.818008372981,149277.74968441683,63650.41816135704
65,2.0,4.0,56.0,2040.6396776517897,418.91986769125054,0.0,418.39186995668797,324.6074263891724,670.8820202443577,2304.1591335054027,149343.98366585682,63692.04608351704
66,2.0,4.0,60.0,2040.6396776517897,418.91986769125054,0.0,419.911869956688,346.2822179539145,718.3581261809354,2465.3009224276652,149433.48126585683,63733.61808351704
67,2.0,4.0,64.0,2040.6396776517897,418.91986769125054,0.0,421.431869956688,367.9302469469431,765.775611821857,2626.2437443301433,149499.9476167368,63775.342305917045
68,2.0,5.0,0.0,2381.83381557304,36.7499494736842,40.9757802963158,34.912452,18.48148878625129,0.0,27.30944530071787,146962.11289357,61228.278238178595
69,2.0,5.0,5.0,2199.677484525684,259.8820608173558,0.0,247.45095342648798,45.74616878633567,60.19154163504558,231.29149709593713,148600.01484614643,62768.78336619836
70,2.0,5.0,10.0,2090.132719544421,369.4268257986189,0.0,353.893480158688,73.33326954809661,120.53588728074622,436.165537067276,148639.16841997945,63081.53807841994
71,2.0,5.0,15.0,2053.3847684717894,406.1747768712505,0.0,390.229033677688,100.8793260987627,180.8343443588375,640.8541311325458,148934.7684448712,63221.477110779146
72,2.0,5.0,20.0,2044.2591836517897,415.30036169125054,0.0,401.27333925668796,128.31225599662744,240.92328665352974,844.8057756937541,148879.7450396478,63305.091047422065
