,datetime,carbon_intensity_avg
0,2021-01-01 00:00:00+00:00,37.45
1,2021-01-01 01:00:00+00:00,37.31
2,2021-01-01 02:00:00+00:00,37.15
3,2021-01-01 03:00:00+00:00,37.08
4,2021-01-01 04:00:00+00:00,37.33
5,2021-01-01 05:00:00+00:00,37.56
6,2021-01-01 06:00:00+00:00,38.34
7,2021-01-01 07:00:00+00:00,38.55
8,2021-01-01 08:00:00+00:00,38.38
9,2021-01-01 09:00:00+00:00,38.17
10,2021-01-01 10:00:00+00:00,37.98
11,2021-01-01 11:00:00+00:00,37.91
12,2021-01-01 12:00:00+00:00,37.94
13,2021-01-01 13:00:00+00:00,37.75
14,2021-01-01 14:00:00+00:00,37.47
15,2021-01-01 15:00:00+00:00,37.6
16,2021-01-01 16:00:00+00:00,37.72
17,2021-01-01 17:00:00+00:00,37.48
18,2021-01-01 18:00:00+00:00,37.72
19,2021-01-01 19:00:00+00:00,37.66
20,2021-01-01 20:00:00+00:00,37.08
21,2021-01-01 21:00:00+00:00,36.86
22,2021-01-01 22:00:00+00:00,36.78
23,2021-01-01 23:00:00+00:00,37.59
24,2021-01-02 00:00:00+00:00,37.89
25,2021-01-02 01:00:00+00:00,38.11
26,2021-01-02 02:00:00+00:00,37.9
27,2021-01-02 03:00:00+00:00,37.94
28,2021-01-02 04:00:00+00:00,38.01
29,2021-01-02 05:00:00+00:00,38.2
30,2021-01-02 06:00:00+00:00,38.78
31,2021-01-02 07:00:00+00:00,38.64
32,2021-01-02 08:00:00+00:00,38.66
33,2021-01-02 09:00:00+00:00,38.58
34,2021-01-02 10:00:00+00:00,38.48
35,2021-01-02 11:00:00+00:00,38.44
36,2021-01-02 12:00:00+00:00,38.55
37,2021-01-02 13:00:00+00:00,38.56
38,2021-01-02 14:00:00+00:00,38.29
39,2021-01-02 15:00:00+00:00,39.08
40,2021-01-02 16:00:00+00:00,40.24
41,2021-01-02 17:00:00+00:00,39.94
42,2021-01-02 18:00:00+00:00,40.61
43,2021-01-02 19:00:00+00:00,38.77
44,2021-01-02 20:00:00+00:00,38.0
45,2021-01-02 21:00:00+00:00,37.58
46,2021-01-02 22:00:00+00:00,37.53
47,2021-01-02 23:00:00+00:00,37.61
