,datetime,carbon_intensity_production_avg
0,2021-01-01 00:00:00+00:00,37.66
1,2021-01-01 01:00:00+00:00,37.48
2,2021-01-01 02:00:00+00:00,37.29
3,2021-01-01 03:00:00+00:00,37.22
4,2021-01-01 04:00:00+00:00,37.5
5,2021-01-01 05:00:00+00:00,37.76
6,2021-01-01 06:00:00+00:00,38.65
7,2021-01-01 07:00:00+00:00,38.93
8,2021-01-01 08:00:00+00:00,38.83
9,2021-01-01 09:00:00+00:00,38.72
10,2021-01-01 10:00:00+00:00,38.75
11,2021-01-01 11:00:00+00:00,38.76
12,2021-01-01 12:00:00+00:00,38.85
13,2021-01-01 13:00:00+00:00,38.78
14,2021-01-01 14:00:00+00:00,38.57
15,2021-01-01 15:00:00+00:00,38.66
16,2021-01-01 16:00:00+00:00,38.81
17,2021-01-01 17:00:00+00:00,38.57
18,2021-01-01 18:00:00+00:00,38.82
19,2021-01-01 19:00:00+00:00,38.69
20,2021-01-01 20:00:00+00:00,38.16
21,2021-01-01 21:00:00+00:00,37.91
22,2021-01-01 22:00:00+00:00,37.58
23,2021-01-01 23:00:00+00:00,38.19
24,2021-01-02 00:00:00+00:00,38.32
25,2021-01-02 01:00:00+00:00,38.48
26,2021-01-02 02:00:00+00:00,38.24
27,2021-01-02 03:00:00+00:00,38.31
28,2021-01-02 04:00:00+00:00,38.4
29,2021-01-02 05:00:00+00:00,38.67
30,2021-01-02 06:00:00+00:00,39.56
31,2021-01-02 07:00:00+00:00,39.64
32,2021-01-02 08:00:00+00:00,39.7
33,2021-01-02 09:00:00+00:00,39.53
34,2021-01-02 10:00:00+00:00,39.51
35,2021-01-02 11:00:00+00:00,39.42
36,2021-01-02 12:00:00+00:00,39.55
37,2021-01-02 13:00:00+00:00,39.6
38,2021-01-02 14:00:00+00:00,39.41
39,2021-01-02 15:00:00+00:00,39.51
40,2021-01-02 16:00:00+00:00,39.35
41,2021-01-02 17:00:00+00:00,39.42
42,2021-01-02 18:00:00+00:00,39.22
43,2021-01-02 19:00:00+00:00,38.97
44,2021-01-02 20:00:00+00:00,38.97
45,2021-01-02 21:00:00+00:00,38.45
46,2021-01-02 22:00:00+00:00,38.28
47,2021-01-02 23:00:00+00:00,38.25
48,2021-01-03 00:00:00+00:00,37.69
49,2021-01-03 01:00:00+00:00,37.54
50,2021-01-03 02:00:00+00:00,37.36
51,2021-01-03 03:00:00+00:00,37.09
52,2021-01-03 04:00:00+00:00,37.1
53,2021-01-03 05:00:00+00:00,36.81
54,2021-01-03 06:00:00+00:00,37.59
55,2021-01-03 07:00:00+00:00,37.96
56,2021-01-03 08:00:00+00:00,37.33
57,2021-01-03 09:00:00+00:00,37.39
58,2021-01-03 10:00:00+00:00,37.76
59,2021-01-03 11:00:00+00:00,37.6
60,2021-01-03 12:00:00+00:00,37.46
61,2021-01-03 13:00:00+00:00,37.55
62,2021-01-03 14:00:00+00:00,37.48
63,2021-01-03 15:00:00+00:00,37.45
64,2021-01-03 16:00:00+00:00,37.35
65,2021-01-03 17:00:00+00:00,37.06
66,2021-01-03 18:00:00+00:00,36.81
67,2021-01-03 19:00:00+00:00,36.64
68,2021-01-03 20:00:00+00:00,36.73
69,2021-01-03 21:00:00+00:00,36.71
70,2021-01-03 22:00:00+00:00,36.72
71,2021-01-03 23:00:00+00:00,37.98
72,2021-01-04 00:00:00+00:00,38.42
73,2021-01-04 01:00:00+00:00,38.98
74,2021-01-04 02:00:00+00:00,38.92
75,2021-01-04 03:00:00+00:00,39.27
76,2021-01-04 04:00:00+00:00,40.18
77,2021-01-04 05:00:00+00:00,40.51
78,2021-01-04 06:00:00+00:00,41.52
79,2021-01-04 07:00:00+00:00,41.66
80,2021-01-04 08:00:00+00:00,42.13
81,2021-01-04 09:00:00+00:00,42.59
82,2021-01-04 10:00:00+00:00,42.74
83,2021-01-04 11:00:00+00:00,43.21
84,2021-01-04 12:00:00+00:00,43.26
85,2021-01-04 13:00:00+00:00,43.14
86,2021-01-04 14:00:00+00:00,42.85
87,2021-01-04 15:00:00+00:00,43.26
88,2021-01-04 16:00:00+00:00,43.0
89,2021-01-04 17:00:00+00:00,43.49
90,2021-01-04 18:00:00+00:00,43.27
91,2021-01-04 19:00:00+00:00,42.55
92,2021-01-04 20:00:00+00:00,41.21
93,2021-01-04 21:00:00+00:00,40.13
94,2021-01-04 22:00:00+00:00,40.18
95,2021-01-04 23:00:00+00:00,40.24
96,2021-01-05 00:00:00+00:00,40.39
97,2021-01-05 01:00:00+00:00,40.07
98,2021-01-05 02:00:00+00:00,40.16
99,2021-01-05 03:00:00+00:00,40.13
100,2021-01-05 04:00:00+00:00,40.68
101,2021-01-05 05:00:00+00:00,41.54
102,2021-01-05 06:00:00+00:00,42.31
103,2021-01-05 07:00:00+00:00,43.25
104,2021-01-05 08:00:00+00:00,43.7
105,2021-01-05 09:00:00+00:00,43.83
106,2021-01-05 10:00:00+00:00,44.0
107,2021-01-05 11:00:00+00:00,43.4
108,2021-01-05 12:00:00+00:00,43.29
109,2021-01-05 13:00:00+00:00,43.12
110,2021-01-05 14:00:00+00:00,43.15
111,2021-01-05 15:00:00+00:00,43.15
112,2021-01-05 16:00:00+00:00,43.06
113,2021-01-05 17:00:00+00:00,43.21
114,2021-01-05 18:00:00+00:00,42.98
115,2021-01-05 19:00:00+00:00,42.36
116,2021-01-05 20:00:00+00:00,41.31
117,2021-01-05 21:00:00+00:00,40.54
118,2021-01-05 22:00:00+00:00,40.21
119,2021-01-05 23:00:00+00:00,39.93
120,2021-01-06 00:00:00+00:00,39.59
121,2021-01-06 01:00:00+00:00,39.36
122,2021-01-06 02:00:00+00:00,39.6
123,2021-01-06 03:00:00+00:00,39.91
124,2021-01-06 04:00:00+00:00,40.65
125,2021-01-06 05:00:00+00:00,41.69
126,2021-01-06 06:00:00+00:00,42.22
127,2021-01-06 07:00:00+00:00,42.16
128,2021-01-06 08:00:00+00:00,42.18
129,2021-01-06 09:00:00+00:00,42.23
130,2021-01-06 10:00:00+00:00,42.34
131,2021-01-06 11:00:00+00:00,42.41
132,2021-01-06 12:00:00+00:00,42.43
133,2021-01-06 13:00:00+00:00,42.57
134,2021-01-06 14:00:00+00:00,42.46
135,2021-01-06 15:00:00+00:00,42.76
136,2021-01-06 16:00:00+00:00,42.73
137,2021-01-06 17:00:00+00:00,42.89
138,2021-01-06 18:00:00+00:00,42.89
139,2021-01-06 19:00:00+00:00,42.21
140,2021-01-06 20:00:00+00:00,41.35
141,2021-01-06 21:00:00+00:00,41.23
142,2021-01-06 22:00:00+00:00,40.82
143,2021-01-06 23:00:00+00:00,41.85
144,2021-01-07 00:00:00+00:00,41.68
145,2021-01-07 01:00:00+00:00,41.65
146,2021-01-07 02:00:00+00:00,41.79
147,2021-01-07 03:00:00+00:00,42.24
148,2021-01-07 04:00:00+00:00,42.9
149,2021-01-07 05:00:00+00:00,42.46
150,2021-01-07 06:00:00+00:00,43.41
151,2021-01-07 07:00:00+00:00,43.86
152,2021-01-07 08:00:00+00:00,43.62
153,2021-01-07 09:00:00+00:00,43.93
154,2021-01-07 10:00:00+00:00,44.34
155,2021-01-07 11:00:00+00:00,44.22
156,2021-01-07 12:00:00+00:00,44.35
157,2021-01-07 13:00:00+00:00,44.5
158,2021-01-07 14:00:00+00:00,44.34
159,2021-01-07 15:00:00+00:00,44.42
160,2021-01-07 16:00:00+00:00,44.4
161,2021-01-07 17:00:00+00:00,44.6
162,2021-01-07 18:00:00+00:00,44.79
163,2021-01-07 19:00:00+00:00,44.7
164,2021-01-07 20:00:00+00:00,44.52
