P_PV;P_BESS;E_BESS;T_BESS;pv2load;pv2bess;pv2curtail;pv2grid;bess2load;bess2grid;grid2load;grid2bess;annual_energy;capex;capex_pv;capex_bess;opex;opex_pv;opex_bess;capex_co2;capex_co2_pv;capex_co2_bess;opex_co2;opex_co2_pv;opex_co2_bess;lcoe_investor;lcoe_enduser;lcoe_revenue;lco2_investor;lco2_enduser;lco2_abatement;savings;energy_procurement_costs;energy_procurement_costs_load;energy_procurement_costs_bess;profit;profit_pv;profit_bess;co2avoided;co2burden;co2burden_load;co2burden_bess;co2abatement;co2abatement_pv;co2abatement_bess;cycles;self_sufficiency;ress;self_consumption;net_savings;net_co2avoided;net_earnings;net_abatement;PV_Load_M;BESS_Load_M;pv2load_share;pv2bess_share;pv2grid_share;curtailment_share;bess2load_share;bess2grid_share;earnings_class;co2abatement_class;savings_class;co2avoided_class;label
0.0;0.0;0.0;0.0;0;0;0;0;0;0;20234455;0;0.0;750000.0;0.0;750000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05360235037150026;0.0;0.0;0.02871379964400894;0.0;0.0;1382128.9870600007;1382128.9870600007;0.0;0.0;0.0;0.0;0.0;771342.4246800005;771342.4246800005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1382128.9870600007;-771342.4246800005;-1382128.9870600007;-771342.4246800005;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
0.0;3.0;3.0;1.0;0;0;0;0;24708;0;20212670;0;24708.0;1350000.0;0.0;1350000.0;18000.0;0.0;18000.0;300000.0;0.0;300000.0;0.0;0.0;0.0;3.7203598219320035;0.05592336479237427;3.7203598219320035;0.7048034917694692;0.029537156360586975;0.7048034917694692;1895.9699600000006;1380457.5299500013;1380457.5299500013;0.0;0.0;0.0;0.0;1005.3254999999996;770455.8935600001;770455.8935600001;0.0;0.0;0.0;0.0;8.0;0.12178060155082679;0.0;0.0;-1341182.7827400002;-784313.7825600025;-1341188.1802400001;-784097.9473300026;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
0.0;3.0;6.0;2.0;0;0;0;0;49597;0;20190976;0;49597.0;1950000.0;0.0;1950000.0;36000.0;0.0;36000.0;600000.0;0.0;600000.0;0.0;0.0;0.0;2.8289934728711774;0.05824319295623841;2.8289934728711774;0.7022313718426537;0.030360014004092748;0.7022313718426537;3805.6683299999986;1378793.24264;1378793.24264;0.0;0.0;0.0;0.0;2018.0047900000006;769573.3052300004;769573.3052300004;0.0;0.0;0.0;0.0;8.0;0.2444533145182271;0.0;0.0;-1305090.2666200008;-794859.7146899989;-1305092.598340001;-794720.9989399989;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
0.0;3.0;9.0;3.0;0;0;0;0;74487;0;20169285;0;74487.0;2550000.0;0.0;2550000.0;54000.0;0.0;54000.0;900000.0;0.0;900000.0;0.0;0.0;0.0;2.5332813520169646;0.06056229882647167;2.5332813520169646;0.7013687492303374;0.03118260992039747;0.7013687492303374;5713.839219999999;1377129.5447900007;1377129.5447900007;0.0;0.0;0.0;0.0;3030.67278;768690.8290100007;768690.8290100007;0.0;0.0;0.0;0.0;8.0;0.36713095627798426;0.0;0.0;-1273190.7468099995;-803867.3829299995;-1273192.4736699995;-803746.9790199995;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
0.0;3.0;12.0;4.0;0;0;0;0;99375;0;20147508;0;99375.0;3150000.0;0.0;3150000.0;72000.0;0.0;72000.0;1200000.0;0.0;1200000.0;0.0;0.0;0.0;2.38574557847933;0.06288071563099319;2.38574557847933;0.7009523391050082;0.032004949847982016;0.7009523391050082;7623.518740000001;1375459.6771400005;1375459.6771400005;0.0;0.0;0.0;0.0;4043.23681;767804.7198800008;767804.7198800008;0.0;0.0;0.0;0.0;8.0;0.48979874045302785;0.0;0.0;-1245602.5030100006;-811672.0661100006;-1245602.6325500004;-811600.0202800006;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
0.0;3.0;15.0;5.0;0;0;0;0;124265;0;20125818;0;124265.0;3750000.0;0.0;3750000.0;90000.0;0.0;90000.0;1500000.0;0.0;1500000.0;0.0;0.0;0.0;2.2972711998960227;0.06519828713099869;2.2972711998960227;0.7006914527276404;0.032827030994143386;0.7006914527276404;9534.672500000002;1373793.9388700011;1373793.9388700011;0.0;0.0;0.0;0.0;5055.857639999998;766922.3252000009;766922.3252000009;0.0;0.0;0.0;0.0;8.0;0.6124763822127849;0.0;0.0;-1222533.2335600026;-818232.5073899999;-1222533.3037600028;-818193.4644899999;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
0.0;3.0;18.0;6.0;0;0;0;0;149154;0;20104115;0;149154.0;4350000.0;0.0;4350000.0;108000.0;0.0;108000.0;1800000.0;0.0;1800000.0;0.0;0.0;0.0;2.2383398665055925;0.06751522453345928;2.2383398665055925;0.7005223329434027;0.03364885991651275;0.7005223329434027;11442.573640000006;1372129.5875200008;1372129.5875200008;0.0;0.0;0.0;0.0;6068.36521;766039.5081800005;766039.5081800005;0.0;0.0;0.0;0.0;8.0;0.7351490951801853;0.0;0.0;-1204439.172810003;-823226.0240900005;-1204439.172810003;-823226.0240900005;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
0.0;3.0;21.0;7.0;0;0;0;0;174043;0;20082339;0;174043.0;4950000.0;0.0;4950000.0;126000.0;0.0;126000.0;2100000.0;0.0;2100000.0;0.0;0.0;0.0;2.1962634707656785;0.06983155751088602;2.1962634707656785;0.7004015830713118;0.03447043824809862;0.7004015830713118;13349.905189999998;1370461.8140500006;1370461.8140500006;0.0;0.0;0.0;0.0;7080.8269900000005;765153.5637100008;765153.5637100008;0.0;0.0;0.0;0.0;8.0;0.8578218081475856;0.0;0.0;-1191401.3420400035;-825866.2976500007;-1191401.3420400035;-825866.2976500007;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
0.0;3.0;24.0;8.0;0;0;0;0;198931;0;20060655;0;198931.0;5550000.0;0.0;5550000.0;144000.0;0.0;144000.0;2400000.0;0.0;2400000.0;0.0;0.0;0.0;2.164726573717353;0.07214695186584685;2.164726573717353;0.7003145683534511;0.03529175272898543;0.7003145683534511;15260.671219999997;1368796.6570600003;1368796.6570600003;0.0;0.0;0.0;0.0;8093.15762;764271.5770800001;764271.5770800001;0.0;0.0;0.0;0.0;8.0;0.9804895923226291;0.0;0.0;-1182391.2846000013;-826524.7075700008;-1182391.2846000013;-826524.7075700008;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
0.0;6.0;6.0;1.0;0;0;0;0;49597;0;20190976;0;49597.0;2700000.0;0.0;2700000.0;36000.0;0.0;36000.0;600000.0;0.0;600000.0;0.0;0.0;0.0;3.7067826876744947;0.060394105960855426;3.7067826876744947;0.7022313718426537;0.030360014004092748;0.7022313718426537;3805.6683299999986;1378793.24264;1378793.24264;0.0;0.0;0.0;0.0;2018.0047900000006;769573.3052300004;769573.3052300004;0.0;0.0;0.0;0.0;8.0;0.2444533145182271;0.0;0.0;-1303774.4301600002;-795979.6674399992;-1303785.0126600002;-795556.4944299993;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
0.0;6.0;12.0;2.0;0;0;0;0;99375;0;20147508;0;99375.0;3900000.0;0.0;3900000.0;72000.0;0.0;72000.0;1200000.0;0.0;1200000.0;0.0;0.0;0.0;2.8238407904199603;0.06503095829731374;2.8238407904199603;0.7009523391050082;0.032004949847982016;0.7009523391050082;7623.518740000001;1375459.6771400005;1375459.6771400005;0.0;0.0;0.0;0.0;4043.23681;767804.7198800008;767804.7198800008;0.0;0.0;0.0;0.0;8.0;0.48979874045302785;0.0;0.0;-1240465.3384099996;-814167.2362499998;-1240471.8995599996;-813749.5238099999;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
0.0;6.0;18.0;3.0;0;0;0;0;149154;0;20104115;0;149154.0;5100000.0;0.0;5100000.0;108000.0;0.0;108000.0;1800000.0;0.0;1800000.0;0.0;0.0;0.0;2.5302241718986767;0.0696647892129488;2.5302241718986767;0.7005223329434027;0.03364885991651275;0.7005223329434027;11442.573640000006;1372129.5875200008;1372129.5875200008;0.0;0.0;0.0;0.0;6068.36521;766039.5081800005;766039.5081800005;0.0;0.0;0.0;0.0;8.0;0.7351490951801853;0.0;0.0;-1189494.450759999;-828494.1834799979;-1189494.704739999;-828352.9282699978;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
0.0;6.0;24.0;4.0;0;0;0;0;198931;0;20060655;0;198931.0;6300000.0;0.0;6300000.0;144000.0;0.0;144000.0;2400000.0;0.0;2400000.0;0.0;0.0;0.0;2.3835748763278066;0.0742958463045881;2.3835748763278066;0.7003145683534511;0.03529175272898543;0.7003145683534511;15260.671219999997;1368796.6570600003;1368796.6570600003;0.0;0.0;0.0;0.0;8093.15762;764271.5770800001;764271.5770800001;0.0;0.0;0.0;0.0;8.0;0.9804895923226291;0.0;0.0;-1146869.059999998;-840061.4709799973;-1146869.3139799978;-839920.2157699972;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
0.0;6.0;30.0;5.0;0;0;0;0;248708;0;20017180;0;248708.0;7500000.0;0.0;7500000.0;180000.0;0.0;180000.0;3000000.0;0.0;3000000.0;0.0;0.0;0.0;2.295627045813398;0.07892397265976801;2.295627045813398;0.7001899687440712;0.03693363417528661;0.7001899687440712;19080.699220000002;1365460.9796700005;1365460.9796700005;0.0;0.0;0.0;0.0;10117.780480000007;762503.2557400006;762503.2557400006;0.0;0.0;0.0;0.0;8.0;1.225830089465073;0.0;0.0;-1111695.3570999978;-849207.9393199973;-1111695.3570999978;-849207.9393199973;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
0.0;6.0;36.0;6.0;0;0;0;0;298481;0;19973790;0;298481.0;8700000.0;0.0;8700000.0;216000.0;0.0;216000.0;3600000.0;0.0;3600000.0;0.0;0.0;0.0;2.2370425216263357;0.08354829986155302;2.2370425216263357;0.7001163092313433;0.03857448337332361;0.7001163092313433;22924.12454;1362109.48156;1362109.48156;0.0;0.0;0.0;0.0;12141.973150000002;760738.7749600007;760738.7749600007;0.0;0.0;0.0;0.0;8.0;1.47115087143809;0.0;0.0;-1084209.6248999985;-855931.7787699975;-1084209.6248999985;-855931.7787699975;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
0.0;6.0;42.0;7.0;0;0;0;0;348257;0;19930327;0;348257.0;9900000.0;0.0;9900000.0;252000.0;0.0;252000.0;4200000.0;0.0;4200000.0;0.0;0.0;0.0;2.19518506874217;0.08816994588508163;2.19518506874217;0.7000576742031335;0.04021432289925646;0.7000576742031335;26765.175840000007;1358755.9808799997;1358755.9808799997;0.0;0.0;0.0;0.0;14166.203479999993;758971.1840100006;758971.1840100006;0.0;0.0;0.0;0.0;8.0;1.7164864397881772;0.0;0.0;-1064862.2745899984;-858585.2027599972;-1064862.2745899984;-858585.2027599972;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
