Hour,P_PV_to_Load,P_PV_to_BESS,P_PV_curtailment,P_PV_to_Grid,P_BESS_to_Load,P_BESS_to_Grid,P_Grid_to_Load,P_Grid_to_BESS,SoC,sum_power_flows
0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,750.0,1020.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,0.0,750.0,1008.0
2,0.0,0.0,0.0,0.0,0.0,0.0,1086.0,0.0,750.0,1086.0
3,0.0,0.0,0.0,0.0,0.0,0.0,1128.0,631.180307174416,1350.0,1128.0
4,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,0.0,1350.0,1032.0
5,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,0.0,1350.0,1014.0
6,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,0.0,1350.0,1008.0
7,0.0,0.0,0.0,0.0,0.0,0.0,1044.0,0.0,1350.0,1044.0
8,0.0,0.0,0.0,0.0,0.0,0.0,1104.0,0.0,1350.0,1104.0
9,0.0,0.0,0.0,0.0,0.0,0.0,1056.0,0.0,1350.0,1056.0
10,16.415385,0.0,0.0,0.0,0.0,0.0,1034.07707655,0.0,1350.0,1050.49246155
11,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,0.0,1350.0,1050.0
12,22.720215,0.0,0.0,0.0,0.0,0.0,1075.96139145,0.0,1350.0,1098.68160645
13,38.447535,0.0,0.0,0.0,0.0,0.0,1072.70589105,0.0,1350.0,1111.15342605
14,12.52461,0.0,0.0,0.0,0.0,0.0,1085.8511283,0.0,1350.0,1098.3757383
15,0.0,0.0,0.0,0.0,0.0,0.0,1128.0,0.0,1350.0,1128.0
16,0.0,0.0,0.0,0.0,1117.44,0.0,153.439872,0.0,150.0,1270.879872
17,0.0,0.0,0.0,0.0,0.0,0.0,1158.0,0.0,150.0,1158.0
18,0.0,0.0,0.0,0.0,0.0,0.0,1368.0,0.0,150.0,1368.0
19,0.0,0.0,0.0,0.0,0.0,0.0,1446.0,0.0,150.0,1446.0
20,0.0,0.0,0.0,0.0,0.0,0.0,1446.0,0.0,150.0,1446.0
21,0.0,0.0,0.0,0.0,0.0,0.0,1464.0,0.0,150.0,1464.0
22,0.0,0.0,0.0,0.0,0.0,0.0,1524.0,0.0,150.0,1524.0
23,0.0,0.0,0.0,0.0,0.0,0.0,1488.0,0.0,150.0,1488.0
24,0.0,0.0,0.0,0.0,0.0,0.0,1536.0,0.0,150.0,1536.0
25,0.0,0.0,0.0,0.0,0.0,0.0,1548.0,0.0,150.0,1548.0
26,0.0,0.0,0.0,0.0,0.0,0.0,1518.0,0.0,150.0,1518.0
27,0.0,0.0,0.0,0.0,0.0,0.0,1584.0,1262.36061434883,1350.0,1584.0
28,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,0.0,1350.0,1578.0
29,0.0,0.0,0.0,0.0,0.0,0.0,1572.0,0.0,1350.0,1572.0
30,0.0,0.0,0.0,0.0,0.0,0.0,1692.0,0.0,1350.0,1692.0
31,0.0,0.0,0.0,0.0,0.0,0.0,1806.0,0.0,1350.0,1806.0
32,0.0,0.0,0.0,0.0,0.0,0.0,1770.0,0.0,1350.0,1770.0
33,22.866165,0.0,0.0,0.0,0.0,0.0,1747.81981995,0.0,1350.0,1770.68598495
34,62.892165,0.0,0.0,0.0,0.0,0.0,1684.99459995,0.0,1350.0,1747.88676495
35,228.0894,0.0,0.0,0.0,0.0,0.0,1500.753282,0.0,1350.0,1728.842682
36,165.70995,0.0,0.0,0.0,0.0,0.0,1573.2613485,0.0,1350.0,1738.9712985
37,35.356335,0.0,0.0,0.0,0.0,0.0,1651.70435505,0.0,1350.0,1687.06069005
38,36.57024,0.0,0.0,0.0,0.0,0.0,1710.5268672,0.0,1350.0,1747.0971072
39,0.0,0.0,0.0,0.0,0.0,0.0,1722.0,0.0,1350.0,1722.0
40,0.0,0.0,0.0,0.0,0.0,0.0,1788.0,0.0,1350.0,1788.0
41,0.0,0.0,0.0,0.0,1117.44,0.0,747.439872,0.0,150.0,1864.879872
42,0.0,0.0,0.0,0.0,0.0,0.0,1704.0,0.0,150.0,1704.0
43,0.0,0.0,0.0,0.0,0.0,0.0,1656.0,0.0,150.0,1656.0
44,0.0,0.0,0.0,0.0,0.0,0.0,1710.0,0.0,150.0,1710.0
45,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,150.0,1674.0
46,0.0,0.0,0.0,0.0,0.0,0.0,1626.0,0.0,150.0,1626.0
47,0.0,0.0,0.0,0.0,0.0,0.0,1620.0,0.0,150.0,1620.0
48,0.0,0.0,0.0,0.0,0.0,0.0,1590.0,0.0,150.0,1590.0
49,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,0.0,150.0,1578.0
50,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,0.0,150.0,1578.0
51,0.0,0.0,0.0,0.0,0.0,0.0,1596.0,0.0,150.0,1596.0
52,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,1262.36061434883,1350.0,1578.0
53,0.0,0.0,0.0,0.0,0.0,0.0,1602.0,0.0,1350.0,1602.0
54,0.0,0.0,0.0,0.0,0.0,0.0,1542.0,0.0,1350.0,1542.0
