P_PV;P_BESS;E_BESS;T_BESS;pv2load;pv2bess;pv2curtail;pv2grid;bess2load;bess2grid;grid2load;grid2bess;annual_energy;capex;capex_pv;capex_bess;opex;opex_pv;opex_bess;capex_co2;capex_co2_pv;capex_co2_bess;opex_co2;opex_co2_pv;opex_co2_bess;lcoe_investor;lcoe_enduser;lcoe_revenue;lco2_investor;lco2_enduser;lco2_abatement;savings;energy_procurement_costs;energy_procurement_costs_load;energy_procurement_costs_bess;profit;profit_pv;profit_bess;co2avoided;co2burden;co2burden_load;co2burden_bess;co2abatement;co2abatement_pv;co2abatement_bess;cycles;self_sufficiency;ress;self_consumption;net_savings;net_co2avoided;net_earnings;net_abatement;PV_Load_M;BESS_Load_M;pv2load_share;pv2bess_share;pv2grid_share;curtailment_share;bess2load_share;bess2grid_share;earnings_class;co2abatement_class;savings_class;co2avoided_class;label
1.0;1.5;1.5;1.0;1608756;127838;0;13277;583998;2234;18127153;533643;2208265.0;755000.0;80000.0;675000.0;12000.0;3000.0;9000.0;183000.0;33000.0;150000.0;0.0;0.0;0.0;0.03150103305327923;0.04914264755682449;0.031257225468876056;0.0116537369616557;0.026927069674740085;0.011464011566233081;155403.21393999958;1255601.5981800004;1233433.7564100004;22167.84176999999;714.7652699999999;715.35728;-0.5920099999999999;82256.66128000003;712373.8369000015;692311.4787000018;20062.358199999995;556.2137199999999;480.48112;75.73259999999999;390.0;10.80762915545498;8.485505595265344;0.029733511842597347;-1100198.384240001;-630117.1756200015;-1099483.6189700009;-629560.9619000015;0.3;0.5;0.9193569125952713;0.07305567096088797;0.007587416443840717;0.0;0.9961892220144926;0.0038107779855074443;negative;negative;negative;negative;Economic Dispatch Optimisation
1.0;1.5;1.5;1.0;1715593;21046;0;13249;52996;0;18517979;38182;1781838.0;755000.0;80000.0;675000.0;12000.0;3000.0;9000.0;183000.0;33000.0;150000.0;0.0;0.0;0.0;0.030250003611542994;0.050100023676044526;0.029953710304416115;0.006488458242220424;0.026833466618687275;0.006284606081130951;107603.96491999981;1279126.3883100017;1277751.3426000015;1375.04571;700.8984499999999;700.8984499999999;0.0;65948.76790000011;708584.6279600018;707338.4589000017;1246.16906;482.22372999999993;482.22372999999993;0.0;35.0;8.717007945449861;8.548618363276077;0.02973428232092039;-1147997.6332600007;-646425.0690000014;-1147282.8679900006;-645868.8552800014;0.3;0.5;0.9804016028454392;0.012027055445834248;0.007571341708726502;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;6.0;6.0;1.0;1585431;164436;0;28;2172894;7938;16670200;2296916;3766291.0;2780000.0;80000.0;2700000.0;39000.0;3000.0;36000.0;633000.0;33000.0;600000.0;0.0;0.0;0.0;0.06950365298163234;0.053007949167312704;0.06950407419099106;0.027024871642476158;0.02842441504551638;0.0269708651744413;309019.3261199998;1184722.8441799998;1090434.3236000005;94288.52058000007;-2.10609;-0.0025199999999999997;-2.10357;142680.35780999952;722425.103330003;636079.2467700028;86345.85656;270.03788000000003;0.93968;269.0982;363.0;18.524003534220135;8.529748006438606;0.02996076870441237;-875703.5180599999;-579744.7455200035;-875705.62415;-579474.7076400034;0.3;2.0;0.9060149323245109;0.0939690667154315;1.6000960057603457e-05;0.0;0.9963601047673548;0.0036398952326451555;negative;negative;negative;negative;Economic Dispatch Optimisation
1.0;6.0;6.0;1.0;1715593;34304;0;0;168192;0;18410704;153178;1883785.0;2780000.0;80000.0;2700000.0;39000.0;3000.0;36000.0;633000.0;33000.0;600000.0;0.0;0.0;0.0;0.10354538307328488;0.05662232881806167;0.10354538307328488;0.021500556723284128;0.02808675890377979;0.021500556723284128;119569.07452999985;1272328.734440002;1266608.9302700015;5719.804169999999;0.0;0.0;0.0;70644.13919000002;707955.411640002;702965.9370000018;4989.474640000001;0.0;0.0;0.0;28.0;9.284785109779191;8.607482616763988;0.02996128235662773;-1065153.76965;-651780.964140003;-1065155.87574;-651510.926260003;0.3;2.0;0.9803965604832742;0.019603439516725843;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;6.0;24.0;4.0;1592190;157676;0;28;6169742;3969;12941789;6807699;7765929.0;6380000.0;80000.0;6300000.0;147000.0;3000.0;144000.0;2433000.0;33000.0;2400000.0;0.0;0.0;0.0;0.08650892551350765;0.0596892489364998;0.08650894885590486;0.042750054280353236;0.033952892074167206;0.042737116814407075;675709.174529999;1002122.78233;748882.1066299995;253240.67570000014;-0.24065999999999999;-0.0025199999999999997;-0.23814;296701.2910699997;745900.3063800007;492643.2543100009;253257.05207000003;133.38521;0.93968;132.44553;257.0;38.25695111529108;8.535954493849413;0.02996075158267186;-326413.60780000093;-449199.015310001;-326413.84846000094;-449065.630100001;0.3;2.0;0.9098779697513106;0.09010602927948778;1.6000969201563067e-05;0.0;0.9993571127641058;0.000642887235894262;negative;negative;negative;negative;Economic Dispatch Optimisation
1.0;6.0;24.0;4.0;1714465;35432;0;0;444545;0;18154472;456731;2159010.0;6380000.0;80000.0;6300000.0;147000.0;3000.0;144000.0;2433000.0;33000.0;2400000.0;0.0;0.0;0.0;0.22933289094939693;0.07020475362043652;0.22933289094939693;0.07067847329845524;0.033177849544784414;0.07067847329845524;152500.36689999988;1254618.8219500026;1235950.8245000015;18667.997449999995;0.0;0.0;0.0;82253.81493999992;707245.8420600005;692156.8392500012;15089.002809999998;0.0;0.0;0.0;18.0;10.64131198616847;8.60798239543476;0.02996128235662773;-849622.41543;-663646.4914400007;-849622.6560900001;-663513.1062300007;0.3;2.0;0.979751951114837;0.020248048885162954;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;6.0;48.0;8.0;1612913;136957;0;28;9478254;0;9840734;10552326;11091195.0;11180000.0;80000.0;11100000.0;291000.0;3000.0;288000.0;4833000.0;33000.0;4800000.0;0.0;0.0;0.0;0.10636943885433776;0.0729810165705627;0.10636943902547999;0.052005767236801635;0.04095944349463488;0.0520057034197698;983905.4780399988;875501.8682599976;461826.18655999936;413675.68170000054;-0.0025199999999999997;-0.0025199999999999997;0.0;425726.04235999915;765775.5650499975;372460.155570001;393315.4094799992;0.93968;0.93968;0.0;197.0;54.66605913714906;8.548268902234014;0.02996082006963391;108403.60978000122;-340049.5226899984;108403.60726000124;-340048.5830099984;0.3;2.0;0.9217182944377329;0.07826570462964128;1.600093262578733e-05;0.0;1.0;0.0;positive;negative;positive;negative;Economic Dispatch Optimisation
1.0;6.0;48.0;8.0;1714460;35437;0;0;570419;0;18037262;588859;2284879.0;11180000.0;80000.0;11100000.0;291000.0;3000.0;288000.0;4833000.0;33000.0;4800000.0;0.0;0.0;0.0;0.3880732017252413;0.08884494032852418;0.3880732017252413;0.12917991636192364;0.03999875398381762;0.12917991636192364;169825.01156999992;1244424.0940600026;1219818.0456100013;24606.04845;0.0;0.0;0.0;87475.00645999996;706699.3932000006;687294.8226700012;19404.57053;0.0;0.0;0.0;11.0;11.261694151321496;8.609805589966427;0.02996128235662773;-705676.8566899977;-678300.5585899976;-705676.8592099977;-678299.6189099976;0.3;2.0;0.9797490938038067;0.020250906196193262;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;10.5;10.5;1.0;1595878;153989;0;28;3499521;11907;15424740;3808938;5107334.0;4805000.0;80000.0;4725000.0;66000.0;3000.0;63000.0;1083000.0;33000.0;1050000.0;0.0;0.0;0.0;0.08655907150814865;0.057338538142315716;0.08656109721960045;0.03338816885292118;0.02987481046121088;0.03333096953722569;432268.8018899994;1126259.3286799984;975639.5248800009;150619.80380000008;-13.73526;-0.0025199999999999997;-13.73274;194340.7588599993;730886.2403900009;587958.9267900019;142927.31359999996;387.83779999999996;0.93968;386.89811999999995;334.0;25.11416364584269;8.535979574647701;0.02996076870441237;-693990.526789999;-536545.4815300016;-694004.262049999;-536157.6437300015;0.3;3.5;0.9119850048145746;0.0879989942253678;1.6000960057603457e-05;0.0;0.9966090718647798;0.003390928135220201;negative;negative;negative;negative;Economic Dispatch Optimisation
1.0;10.5;10.5;1.0;1715593;34304;0;0;266179;0;18319466;261997;1981772.0;4805000.0;80000.0;4725000.0;66000.0;3000.0;63000.0;1083000.0;33000.0;1050000.0;0.0;0.0;0.0;0.1695311607835497;0.06316565088904529;0.1695311607835497;0.03496681581980308;0.029355487773554945;0.03496681581980308;130541.30652999971;1266136.4505200011;1256392.8540100018;9743.59651;0.0;0.0;0.0;74704.11226000007;707722.9464300013;699185.6072100017;8537.339219999998;0.0;0.0;0.0;25.0;9.767742686441034;8.6076905380912;0.02996128235662773;-995718.0221499987;-656182.1281300008;-995731.7574099987;-655794.2903300008;0.3;3.5;0.9803965604832742;0.019603439516725843;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
