P_PV;P_BESS;E_BESS;T_BESS;pv2load;pv2bess;pv2curtail;pv2grid;bess2load;bess2grid;grid2load;grid2bess;annual_energy;capex;capex_pv;capex_bess;opex;opex_pv;opex_bess;capex_co2;capex_co2_pv;capex_co2_bess;opex_co2;opex_co2_pv;opex_co2_bess;lcoe_investor;lcoe_enduser;lcoe_revenue;lco2_investor;lco2_enduser;lco2_abatement;savings;energy_procurement_costs;energy_procurement_costs_load;energy_procurement_costs_bess;profit;profit_pv;profit_bess;co2avoided;co2burden;co2burden_load;co2burden_bess;co2abatement;co2abatement_pv;co2abatement_bess;cycles;self_sufficiency;ress;self_consumption;net_savings;net_co2avoided;net_earnings;net_abatement;PV_Load_M;BESS_Load_M;pv2load_share;pv2bess_share;pv2grid_share;curtailment_share;bess2load_share;bess2grid_share;earnings_class;co2abatement_class;savings_class;co2avoided_class;label
1.0;1.5;1.5;1.0;1715593;21046;0;13249;52996;0;18517979;38182;1781838.0;755000.0;80000.0;675000.0;12000.0;3000.0;9000.0;183000.0;33000.0;150000.0;0.0;0.0;0.0;0.030250003611542994;0.050100023676044526;0.029953710304416115;0.006488458242220424;0.026833466618687275;0.006284606081130951;107603.96491999981;1279126.3883100017;1277751.3426000015;1375.04571;700.8984499999999;700.8984499999999;0.0;65948.76790000011;708584.6279600018;707338.4589000017;1246.16906;482.22372999999993;482.22372999999993;0.0;35.0;8.717007945449861;8.548618363276077;0.02973428232092039;-1147997.6332600007;-646425.0690000014;-1147282.8679900006;-645868.8552800014;0.3;0.5;0.9804016028454392;0.012027055445834248;0.007571341708726502;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;6.0;6.0;1.0;1715593;34304;0;0;168192;0;18410704;153178;1883785.0;2780000.0;80000.0;2700000.0;39000.0;3000.0;36000.0;633000.0;33000.0;600000.0;0.0;0.0;0.0;0.10354538307328488;0.05662232881806167;0.10354538307328488;0.021500556723284128;0.02808675890377979;0.021500556723284128;119569.07452999985;1272328.734440002;1266608.9302700015;5719.804169999999;0.0;0.0;0.0;70644.13919000002;707955.411640002;702965.9370000018;4989.474640000001;0.0;0.0;0.0;28.0;9.284785109779191;8.607482616763988;0.02996128235662773;-1065153.76965;-651780.964140003;-1065155.87574;-651510.926260003;0.3;2.0;0.9803965604832742;0.019603439516725843;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;6.0;24.0;4.0;1714465;35432;0;0;444545;0;18154472;456731;2159010.0;6380000.0;80000.0;6300000.0;147000.0;3000.0;144000.0;2433000.0;33000.0;2400000.0;0.0;0.0;0.0;0.22933289094939693;0.07020475362043652;0.22933289094939693;0.07067847329845524;0.033177849544784414;0.07067847329845524;152500.36689999988;1254618.8219500026;1235950.8245000015;18667.997449999995;0.0;0.0;0.0;82253.81493999992;707245.8420600005;692156.8392500012;15089.002809999998;0.0;0.0;0.0;18.0;10.64131198616847;8.60798239543476;0.02996128235662773;-849622.41543;-663646.4914400007;-849622.6560900001;-663513.1062300007;0.3;2.0;0.979751951114837;0.020248048885162954;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;6.0;48.0;8.0;1714460;35437;0;0;570419;0;18037262;588859;2284879.0;11180000.0;80000.0;11100000.0;291000.0;3000.0;288000.0;4833000.0;33000.0;4800000.0;0.0;0.0;0.0;0.3880732017252413;0.08884494032852418;0.3880732017252413;0.12917991636192364;0.03999875398381762;0.12917991636192364;169825.01156999992;1244424.0940600026;1219818.0456100013;24606.04845;0.0;0.0;0.0;87475.00645999996;706699.3932000006;687294.8226700012;19404.57053;0.0;0.0;0.0;11.0;11.261694151321496;8.609805589966427;0.02996128235662773;-705676.8566899977;-678300.5585899976;-705676.8592099977;-678299.6189099976;0.3;2.0;0.9797490938038067;0.020250906196193262;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;10.5;10.5;1.0;1715593;34304;0;0;266179;0;18319466;261997;1981772.0;4805000.0;80000.0;4725000.0;66000.0;3000.0;63000.0;1083000.0;33000.0;1050000.0;0.0;0.0;0.0;0.1695311607835497;0.06316565088904529;0.1695311607835497;0.03496681581980308;0.029355487773554945;0.03496681581980308;130541.30652999971;1266136.4505200011;1256392.8540100018;9743.59651;0.0;0.0;0.0;74704.11226000007;707722.9464300013;699185.6072100017;8537.339219999998;0.0;0.0;0.0;25.0;9.767742686441034;8.6076905380912;0.02996128235662773;-995718.0221499987;-656182.1281300008;-995731.7574099987;-655794.2903300008;0.3;3.5;0.9803965604832742;0.019603439516725843;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;18.0;18.0;1.0;1715593;34304;0;0;411662;0;18183992;423235;2127255.0;8180000.0;80000.0;8100000.0;111000.0;3000.0;108000.0;1833000.0;33000.0;1800000.0;0.0;0.0;0.0;0.26816740966781577;0.07411636261304927;0.26816740966781577;0.054905168189642084;0.03147154591674464;0.054905168189642084;146841.74961999984;1257172.818840002;1241213.7900500013;15959.02879;0.0;0.0;0.0;80731.05720999997;707374.9669800008;693573.2885200011;13801.678459999997;0.0;0.0;0.0;22.0;10.484798184879555;8.60792573949173;0.02996128235662773;-900860.1379300014;-660262.6238400018;-900866.0145700014;-659990.6808400018;0.3;6.0;0.9803965604832742;0.019603439516725843;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;18.0;72.0;4.0;1714867;35030;0;0;849041;0;17777417;893980;2563908.0;18980000.0;80000.0;18900000.0;435000.0;3000.0;432000.0;7233000.0;33000.0;7200000.0;0.0;0.0;0.0;0.5688600948588192;0.11578358300812543;0.5688600948588192;0.1723435963866217;0.046784660753685266;0.1723435963866217;201378.14094999988;1229068.7919300015;1190435.0187500007;38633.77318;0.0;0.0;0.0;98753.15812000002;706018.8605600008;676792.2638100012;29226.59675;0.0;0.0;0.0;11.0;12.636970153835891;8.610016798592977;0.02996128235662773;-582468.2892400001;-682190.7504900025;-580536.4661500001;-680970.4252600025;0.3;6.0;0.9799816789216736;0.020018321078326323;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;18.0;144.0;8.0;1714867;35030;0;0;887342;0;17741747;906962;2602209.0;33380000.0;80000.0;33300000.0;867000.0;3000.0;864000.0;14433000.0;33000.0;14400000.0;0.0;0.0;0.0;1.0068281075446663;0.17279391539651423;1.0068281075446663;0.3305366539003515;0.06728661303235592;0.3305366539003515;203305.46980999995;1227520.5383400018;1188640.2526400005;38880.28569999999;0.0;0.0;0.0;100233.44738000006;705051.1424100006;675413.658340001;29637.484070000002;0.0;0.0;0.0;6.0;12.825747829892157;8.614862283060333;0.02996128235662773;-556672.0540999988;-686536.0990800018;-551654.6731699987;-683519.0978300017;0.3;6.0;0.9799816789216736;0.020018321078326323;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;30.0;30.0;1.0;1715593;34304;0;0;602409;0;18006368;633721;2318002.0;13580000.0;80000.0;13500000.0;183000.0;3000.0;180000.0;3033000.0;33000.0;3000000.0;0.0;0.0;0.0;0.4075796566723979;0.09170837903997085;0.4075796566723979;0.08267909473799681;0.034860946675526194;0.08267909473799681;169354.24788999994;1244997.0335100023;1220250.1413400008;24746.892169999992;0.0;0.0;0.0;88647.23812999994;706901.4111400006;686201.7244000012;20699.68674;0.0;0.0;0.0;20.0;11.42495054055446;8.608271532860636;0.02996128235662773;-776606.621000001;-664925.5134200001;-776612.497640001;-664653.5704200001;0.3;10.0;0.9803965604832742;0.019603439516725843;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;30.0;120.0;4.0;1714874;35023;0;0;924638;0;17707012;959206;2639512.0;31580000.0;80000.0;31500000.0;723000.0;3000.0;720000.0;12033000.0;33000.0;12000000.0;0.0;0.0;0.0;0.9123352501071428;0.1621966554146243;0.9123352501071428;0.273560539710756;0.0604401751116617;0.273560539710756;208033.5437500001;1224571.9454900012;1184237.4919500004;40334.45353999999;0.0;0.0;0.0;101757.98195000009;705297.8835200006;673994.071980001;31303.81154;0.0;0.0;0.0;7.0;13.009606571176377;8.612796355411607;0.02996128235662773;-539819.7769599996;-686954.0043800009;-534704.3280399996;-683328.3169300008;0.3;10.0;0.9799856791571161;0.020014320842883897;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
